ФИО аудитора ПАБ;Должность (профессия) аудитора ПАБ;Дата проведения ПАБ;Стаж аудитора ПАБ в занимаемой должности (профессии), лет;Возраст аудитора ПАБ, лет;Продолжительность междувахтового отдыха аудитора ПАБ, предшествующего вахте (в днях);Продолжительность вахты аудитора ПАБ, дней;Нахождение на рабочей вахте аудитора ПАБ после прилёта в день проведения ПАБ (в днях);ФИО_работника;Профессия_работника;Стаж_работника;Стаж_категории;Возраст_работника;Возраст_категории;Продолжительность_вахты;Продолжительность_междувахтового_отдыха;Балл_анкетирования;Балл_категории;Индекс_массы_тела;Индекс_категории;Адаптационный_потенциал;Адаптационный_потенциал_категории;Нахождение_на_рабочей_вахте;Физическое_утомление;Месяц_ПАБ;Переход_из_ночной_смены;Выход_после_праздника;Количество_выявленных_опасных_действий;;;num
15;5;11.01.2024;16;53;29;32;28;18;7;5;3;29;2;30;31;-3;3;25,8;3;2,603;2;15;0;1;0;0;0;;;15
30;5;16.01.2024;16;52;30;32;2;174;7;33;6;55;4;30;32;-23;2;34,02;3;3,168;3;8;0;1;0;0;0;;;16
30;5;16.01.2024;16;52;30;32;2;79;7;24;5;47;4;31;30;-6;3;34,72;3;3,9;4;21;0;1;0;0;0;;;17
4;2;17.01.2024;7;35;43;40;26;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;25;0;1;0;0;0;;;18
4;2;17.01.2024;7;35;43;40;26;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;10;0;1;0;0;0;;;19
17;2;17.01.2024;3;30;23;39;2;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;8;0;1;0;0;1;;;20
17;2;17.01.2024;3;30;23;39;2;138;3;16;5;42;3;28;34;-10;3;29,03;3;2,851;2;6;0;1;0;0;1;;;21
17;2;17.01.2024;3;30;23;39;2;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;26;1;1;0;0;1;;;22
17;2;18.01.2024;3;30;23;39;3;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;26;1;1;0;0;3;;;23
17;2;18.01.2024;3;30;23;39;3;42;2;2;2;22;1;28;44;-4;3;19,44;2;2,292;1;9;0;1;0;0;3;;;24
49;4;17.01.2024;15;54;32;30;9;194;4;22;5;48;4;43;49;-10;3;32,1;3;3,034;2;6;0;1;0;0;0;;;25
49;4;17.01.2024;15;54;32;30;9;164;4;15;4;39;3;33;29;-2;3;26,2;3;2,728;2;10;0;1;0;0;0;;;26
29;5;18.01.2024;4;40;28;50;42;118;5;17;5;42;3;33;26;-32;1;26,8;3;2,788;2;42;1;1;0;0;0;;;27
29;5;18.01.2024;4;40;28;50;42;88;5;8;4;56;5;30;60;-31;1;25,76;3;2,957;2;9;0;1;0;0;0;;;28
9;2;18.01.2024;3;31;32;30;3;42;2;2;2;22;1;28;44;-4;3;19,44;2;2,292;1;9;0;1;0;0;0;;;29
9;2;18.01.2024;3;31;32;30;3;204;2;11;4;33;2;30;31;-2;3;23,24;2;2,563;1;26;1;1;0;0;0;;;30
29;5;18.01.2024;4;40;28;50;42;134;5;29;5;56;5;32;30;-32;1;37,18;3;3,277;3;8;0;1;0;0;0;;;31
16;7;18.01.2024;8;43;33;32;9;138;3;16;5;42;3;28;34;-10;3;29,03;3;2,851;2;7;0;1;0;0;1;;;32
16;7;18.01.2024;8;43;33;32;9;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;27;1;1;0;0;1;;;33
29;5;19.01.2024;4;40;28;50;43;88;5;8;4;56;5;30;60;-31;1;25,76;3;2,957;2;10;0;1;0;0;0;;;34
51;12;19.01.2024;34;55;30;28;6;87;7;23;5;56;5;30;32;-12;2;27,47;3;3,002;2;10;0;1;0;0;0;;;35
51;12;19.01.2024;34;55;30;28;6;79;7;24;5;47;4;31;30;-6;3;34,72;3;3,9;4;24;0;1;0;0;0;;;36
30;5;19.01.2024;16;52;30;32;5;210;7;34;6;55;4;28;30;-10;3;30,11;3;3,06;2;6;0;1;0;0;0;;;37
30;5;19.01.2024;16;52;30;32;5;112;7;22;5;45;3;28;34;-30;1;37,18;3;3,109;3;8;0;1;0;0;0;;;38
42;3;20.01.2024;4;34;35;43;37;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;11;0;1;0;0;0;;;39
42;3;21.01.2024;4;34;35;43;38;44;3;23;5;42;3;33;37;3;3;23,2;2;2,671;2;30;1;1;0;0;0;;;40
42;3;21.01.2024;4;34;35;43;38;192;3;6;4;24;1;28;23;-7;3;20,45;2;2,338;1;3;0;1;0;0;0;;;41
12;2;23.01.2024;9;38;42;47;1;114;2;13;4;42;3;33;30;3;3;31,14;3;2,905;2;1;0;1;0;0;0;;;42
12;2;23.01.2024;9;38;42;47;1;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;14;0;1;0;0;0;;;43
7;1;19.01.2024;15;52;23;39;4;64;1;11;4;35;2;30;47;-3;3;30.67;3;2,798;2;9;0;1;0;0;1;;;44
7;1;19.01.2024;15;52;23;39;4;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;12;0;1;0;0;1;;;45
8;4;06.01.2024;2;31;31;30;29;48;2;10;4;34;2;30;30;0;3;26,23;3;2,672;2;22;0;1;0;1;0;;;46
8;4;06.01.2024;2;31;31;30;29;57;2;4;3;36;3;26;35;5;3;25,5;3;2,668;2;22;0;1;0;1;0;;;47
8;4;03.01.2024;2;31;31;30;26;151;2;8;4;32;2;47;31;0;3;20,45;2;2,464;1;40;1;1;0;1;1;;;48
8;4;03.01.2024;2;31;31;30;26;97;2;3;2;26;2;35;30;0;3;21,45;2;2,393;1;27;1;1;0;1;1;;;49
41;6;19.01.2024;10;50;32;55;48;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;12;0;1;0;0;0;;;50
41;6;19.01.2024;10;50;32;55;48;64;1;11;4;35;2;30;47;-3;3;30.67;3;2,798;2;9;0;1;0;0;0;;;51
49;4;25.01.2024;15;54;32;30;17;165;4;25;5;45;3;32;34;-9;3;24,21;2;2,758;2;11;0;1;0;0;0;;;52
49;4;25.01.2024;15;54;32;30;17;25;4;3;2;37;3;36;19;-6;3;25,86;3;2,7;2;11;0;1;0;0;0;;;53
39;3;25.01.2024;16;52;41;46;1;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;23;0;2;0;0;0;;;54
39;3;25.01.2024;16;52;41;46;1;127;3;6;4;33;2;30;77;-5;3;23,54;2;2,554;1;1;0;1;0;0;0;;;55
39;3;26.01.2024;16;52;41;46;2;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;17;0;1;0;0;0;;;56
39;3;26.01.2024;16;52;41;46;2;191;3;33;6;55;4;33;44;-4;3;19,91;2;2,781;2;4;0;1;0;0;0;;;57
43;10;26.01.2024;33;55;44;33;4;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;17;0;1;0;0;0;;;58
43;10;27.01.2024;33;55;44;33;5;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;18;0;1;0;0;0;;;59
43;10;27.01.2024;33;55;44;33;5;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;1;0;1;0;0;0;;;60
51;12;27.01.2024;34;55;30;28;14;174;7;33;6;55;4;30;32;-23;2;34,02;3;3,168;3;19;0;1;0;0;0;;;61
47;5;27.01.2024;13;41;48;31;1;113;5;9;4;41;3;35;23;3;3;22,72;2;2,671;2;20;0;1;0;0;0;;;62
47;5;27.01.2024;13;41;48;31;1;43;5;15;4;51;4;45;32;5;3;24,76;2;2,851;2;19;0;1;0;0;0;;;63
47;5;29.01.2024;13;41;48;31;3;113;5;9;4;41;3;35;23;3;3;22,72;2;2,671;2;22;0;1;0;0;0;;;64
47;5;29.01.2024;13;41;48;31;3;43;5;15;4;51;4;45;32;5;3;24,76;2;2,851;2;21;0;1;0;0;0;;;65
12;2;03.02.2024;9;38;42;47;12;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;27;1;2;0;0;0;;;66
12;2;03.02.2024;9;38;42;47;12;127;3;6;4;33;2;30;77;-5;3;23,54;2;2,554;1;10;0;2;0;0;0;;;67
39;3;02.02.2024;16;52;41;46;9;191;3;33;6;55;4;33;44;-4;3;19,91;2;2,781;2;11;0;2;0;0;0;;;68
39;3;02.02.2024;16;52;41;46;9;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;7;0;2;0;0;0;;;69
39;3;02.02.2024;16;52;41;46;9;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;24;0;2;0;0;0;;;70
39;3;01.02.2024;16;52;41;46;8;191;3;33;6;55;4;33;44;-4;3;19,91;2;2,781;2;10;0;2;0;0;0;;;71
39;3;01.02.2024;16;52;41;46;8;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;6;0;2;0;0;0;;;72
39;3;01.02.2024;16;52;41;46;8;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;23;0;2;0;0;0;;;73
7;1;02.02.2024;15;52;23;39;18;165;4;25;5;45;3;32;34;-9;3;24,21;2;2,758;2;19;0;2;0;0;0;;;74
7;1;02.02.2024;15;52;23;39;18;194;4;22;5;48;4;43;49;-10;3;32,1;3;3,034;2;22;0;2;0;0;0;;;75
7;1;02.02.2024;15;52;23;39;18;164;4;15;4;39;3;33;29;-2;3;26,2;3;2,728;2;26;1;2;0;0;0;;;76
7;1;02.02.2024;15;52;23;39;18;103;4;8;4;44;3;43;34;-10;3;32,66;3;2,969;2;22;0;2;0;0;0;;;77
9;2;03.02.2024;3;31;32;30;19;164;4;15;4;39;3;33;29;-2;3;26,2;3;2,728;2;27;1;2;0;0;0;;;78
9;2;03.02.2024;3;31;32;30;19;165;4;25;5;45;3;32;34;-9;3;24,21;2;2,758;2;20;0;2;0;0;0;;;79
9;2;03.02.2024;3;31;32;30;19;194;4;22;5;48;4;43;49;-10;3;32,1;3;3,034;2;23;0;2;0;0;0;;;80
9;2;03.02.2024;3;31;32;30;19;110;4;21;5;44;3;30;17;-2;3;29,41;3;2,888;2;26;1;2;0;0;0;;;81
9;2;03.02.2024;3;31;32;30;19;103;4;8;4;44;3;43;34;-10;3;32,66;3;2,969;2;23;0;2;0;0;0;;;82
9;2;03.02.2024;3;31;32;30;19;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;16;0;2;0;0;0;;;83
20;6;03.02.2024;14;47;47;59;11;137;2;17;5;39;3;30;47;-1;3;33,39;3;2,953;2;25;0;2;0;0;0;;;84
20;6;03.02.2024;14;47;47;59;11;171;2;15;4;47;4;36;108;-9;3;25,11;3;2,804;2;24;0;2;0;0;0;;;85
20;6;03.02.2024;14;47;47;59;11;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;10;0;2;0;0;0;;;86
20;6;03.02.2024;14;47;47;59;11;81;2;23;5;45;3;30;78;-18;2;24,62;2;2,753;2;26;1;2;0;0;0;;;87
30;5;05.02.2024;16;52;30;32;22;201;7;14;4;44;3;39;32;1;3;29,05;3;2,879;2;21;0;2;0;0;0;;;88
30;5;05.02.2024;16;52;30;32;22;210;7;34;6;55;4;28;30;-10;3;30,11;3;3,06;2;23;0;2;0;0;0;;;89
30;5;05.02.2024;16;52;30;32;22;174;7;33;6;55;4;30;32;-23;2;34,02;3;3,168;3;28;1;2;0;0;0;;;90
17;2;06.02.2024;3;30;23;39;22;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;19;0;2;0;0;1;;;91
17;2;06.02.2024;3;30;23;39;22;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;30;1;2;0;0;1;;;92
17;2;07.02.2024;3;30;23;39;23;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;20;0;2;0;0;0;;;93
17;2;07.02.2024;3;30;23;39;23;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;31;1;2;0;0;0;;;94
16;7;08.02.2024;8;43;33;32;30;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;21;0;2;0;0;1;;;95
16;7;08.02.2024;8;43;33;32;30;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;32;1;2;0;0;1;;;96
20;6;07.02.2024;14;47;47;59;15;137;2;17;5;39;3;30;47;-1;3;33,39;3;2,953;2;29;1;2;0;0;0;;;97
20;6;07.02.2024;14;47;47;59;15;171;2;15;4;47;4;36;108;-9;3;25,11;3;2,804;2;28;1;2;0;0;0;;;98
20;6;07.02.2024;14;47;47;59;15;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;14;0;2;0;0;0;;;99
51;12;09.02.2024;34;55;30;28;27;50;7;23;5;45;3;28;32;-24;2;37,74;3;3,154;3;1;0;2;0;0;0;;;100
51;12;09.02.2024;34;55;30;28;27;30;7;10;4;33;2;36;56;-1;3;26,1;3;2,608;2;31;1;2;0;0;0;;;101
30;5;09.02.2024;16;52;30;32;5;32;7;5;3;25;1;32;30;-5;3;22,92;2;2,442;1;30;1;2;0;0;0;;;102
30;5;09.02.2024;16;52;30;32;5;50;7;23;5;45;3;28;32;-24;2;37,74;3;3,154;3;1;0;2;0;0;0;;;103
30;5;09.02.2024;16;52;30;32;5;30;7;10;4;33;2;36;56;-1;3;26,1;3;2,608;2;31;1;2;0;0;0;;;104
47;5;08.02.2024;13;41;48;31;13;113;5;9;4;42;3;35;23;3;3;22,72;2;2,671;2;32;1;2;0;0;0;;;105
47;5;08.02.2024;13;41;48;31;13;43;5;15;4;51;4;45;32;5;3;24,76;2;2,851;2;31;1;2;0;0;0;;;106
51;12;09.02.2024;34;55;30;28;27;32;7;5;3;25;1;32;30;-5;3;22,92;2;2,442;1;30;1;2;0;0;0;;;107
9;2;05.02.2024;3;31;32;30;21;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;21;0;2;0;0;0;;;108
12;2;07.02.2024;9;38;42;47;16;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;20;0;2;0;0;0;;;109
12;2;07.02.2024;9;38;42;47;16;64;1;11;4;35;2;30;47;-3;3;30.67;3;2,798;2;28;1;2;0;0;0;;;110
14;8;16.02.2024;30;56;63;28;8;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;23;0;2;0;0;0;;;111
14;8;16.02.2024;30;56;63;28;8;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;23;0;2;0;0;0;;;112
14;8;19.02.2024;30;56;63;28;8;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;23;0;2;0;0;0;;;113
14;8;19.02.2024;30;56;63;28;8;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;23;0;2;0;0;0;;;114
14;8;19.02.2024;30;56;63;28;8;152;6;12;4;52;4;30;30;9;3;37,04;3;3,225;3;5;0;2;0;0;0;;;115
7;1;19.02.2024;15;52;23;39;35;59;4;15;4;44;3;30;30;-1;3;24,44;2;2,753;2;10;0;2;0;0;0;;;116
7;1;19.02.2024;15;52;23;39;35;155;4;6;4;30;2;30;19;-2;3;23,7;2;2,521;1;5;0;2;0;0;0;;;117
5;1;19.02.2024;8;53;23;35;11;119;4;27;5;50;4;30;40;13;4;26,42;3;2,891;2;4;0;2;0;0;0;;;118
5;1;19.02.2024;8;53;23;35;11;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;4;0;2;0;0;0;;;119
5;1;19.02.2024;8;53;23;35;11;36;4;3;2;28;2;46;30;-3;3;31,79;3;2,745;2;12;0;2;0;0;0;;;120
43;10;19.02.2024;33;55;44;33;28;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;24;0;2;0;0;0;;;121
43;10;19.02.2024;33;55;44;33;28;127;3;6;4;33;2;30;77;-5;3;23,54;2;2,554;1;26;1;2;0;0;0;;;122
43;10;22.02.2024;33;55;44;33;31;213;3;10;4;28;2;33;43;6;3;28,01;3;2,628;2;15;0;2;0;0;0;;;123
4;2;24.02.2024;7;35;43;34;43;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;15;0;2;0;1;1;;;124
4;2;24.02.2024;7;35;43;34;43;119;4;27;5;50;4;30;40;13;4;26,42;3;2,891;2;9;0;2;0;1;1;;;125
4;2;24.02.2024;7;35;43;34;43;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;9;0;2;0;1;1;;;126
4;2;24.02.2024;7;35;43;34;43;36;4;3;2;28;2;46;30;-3;3;31,79;3;2,745;2;17;0;2;0;1;1;;;127
4;2;24.02.2024;7;35;43;34;43;31;4;21;5;50;4;33;38;7;3;35,8;3;3,17;3;2;0;2;0;1;1;;;128
15;5;27.02.2024;16;53;30;30;13;153;7;24;5;53;4;28;32;-17;2;27,77;3;2,969;2;18;0;2;0;0;0;;;129
15;5;27.02.2024;16;53;30;30;13;79;7;24;5;47;4;29;31;-6;3;34,72;3;3,9;4;1;0;2;0;0;0;;;130
33;8;26.02.2024;20;39;29;31;4;212;3;24;5;45;3;28;41;4;3;27,78;3;2,857;2;2;0;2;0;0;0;;;131
33;8;26.02.2024;20;39;29;31;4;31;4;21;5;50;4;33;38;7;3;35,8;3;3,17;3;4;0;2;0;0;0;;;132
33;8;26.02.2024;20;39;29;31;4;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;17;0;2;0;0;0;;;133
33;8;26.02.2024;20;39;29;31;4;15;2;8;4;31;2;28;137;2;3;26,32;3;2,616;2;2;0;2;0;0;0;;;134
6;2;28.02.2024;8;37;32;28;4;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;2;0;2;0;0;0;;;135
6;2;28.02.2024;8;37;32;28;4;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;19;0;2;0;0;0;;;136
15;5;29.02.2024;16;53;30;30;15;29;7;31;6;55;4;28;32;-8;3;29,83;3;3,06;2;14;0;2;0;0;0;;;137
15;5;29.02.2024;16;53;30;30;15;20;7;7;4;31;2;28;32;1;3;24,45;2;2,562;1;6;0;2;0;0;0;;;138
6;2;29.02.2024;8;37;32;28;5;57;2;4;3;36;3;24;36;5;3;25,5;3;2,668;2;14;0;2;0;0;0;;;139
6;2;29.02.2024;8;37;32;28;5;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;20;0;2;0;0;0;;;140
29;5;28.02.2024;4;40;27;33;6;118;5;17;5;42;3;29;33;-32;1;26,8;3;2,788;2;17;0;2;0;0;0;;;141
29;5;28.02.2024;4;40;27;33;6;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;13;0;2;0;0;0;;;142
29;5;24.02.2024;4;40;27;33;2;118;5;17;5;42;3;29;33;-32;1;26,8;3;2,788;2;13;0;2;0;1;0;;;143
29;5;24.02.2024;4;40;27;33;2;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;9;0;2;0;1;0;;;144
36;9;01.02.2024;15;50;32;30;17;113;5;9;4;41;3;35;23;3;3;22,72;2;2,671;2;25;0;2;0;0;0;;;145
29;5;02.03.2024;4;40;27;33;9;158;5;28;5;55;4;28;36;-9;3;26,49;3;2,961;2;16;0;3;0;0;0;;;146
29;5;02.03.2024;4;40;27;33;9;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;16;0;3;0;0;0;;;147
29;5;01.03.2024;4;40;27;33;8;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;15;0;3;0;0;0;;;148
29;5;01.03.2024;4;40;27;33;8;41;5;17;5;54;4;35;40;-3;3;32,24;3;3,109;3;10;0;3;0;0;0;;;149
12;2;03.03.2024;9;38;42;47;41;15;2;8;4;31;2;28;137;2;3;26,32;3;2,616;2;8;0;3;0;0;0;;;150
12;2;03.03.2024;9;38;42;47;41;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;6;0;3;0;0;0;;;151
39;3;06.03.2024;16;52;41;46;42;44;3;23;5;42;3;31;29;3;3;23,2;2;2,671;2;13;0;3;0;0;0;;;152
39;3;06.03.2024;16;52;41;46;42;106;3;30;5;48;4;29;46;-10;3;26,3;3;2,854;2;9;0;3;0;0;0;;;153
39;3;06.03.2024;16;52;41;46;42;213;3;10;4;28;2;33;43;6;3;28,01;3;2,628;2;28;1;3;0;0;0;;;154
12;2;06.03.2024;9;38;42;47;44;130;2;4;3;30;2;27;31;-3;3;22,88;2;2,508;1;24;0;3;0;0;0;;;155
12;2;06.03.2024;9;38;42;47;44;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;9;0;3;0;0;0;;;156
5;1;07.03.2024;8;53;23;35;28;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;10;0;3;0;0;0;;;157
5;1;07.03.2024;8;53;23;35;28;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;21;0;3;0;0;0;;;158
5;1;07.03.2024;8;53;23;35;28;60;4;6;4;38;3;28;26;9;3;30,78;3;2,826;2;27;1;3;0;0;0;;;159
20;6;07.03.2024;14;47;47;59;44;172;2;3;2;32;2;29;31;-3;3;32.40;3;2,828;2;11;0;3;0;0;0;;;160
20;6;07.03.2024;14;47;47;59;44;202;2;24;5;54;4;28;63;3;3;23,45;2;2,848;2;12;0;3;0;0;0;;;161
20;6;07.03.2024;14;47;47;59;44;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;43;1;3;0;0;0;;;162
15;5;12.03.2024;16;53;30;30;27;174;7;33;6;55;4;30;30;-23;2;34,02;3;3,168;3;4;0;3;0;0;0;;;163
15;5;12.03.2024;16;53;30;30;27;95;7;17;5;39;3;34;57;-37;1;28,68;3;2,8;2;32;1;3;0;0;0;;;164
20;6;13.03.2024;14;47;47;59;50;137;2;17;5;40;3;34;32;-1;3;33,39;3;2,953;2;2;0;3;0;0;0;;;165
20;6;13.03.2024;14;47;47;59;50;81;2;23;5;45;3;30;30;-18;2;24,62;2;2,753;2;5;0;3;0;0;0;;;166
33;8;14.03.2024;20;39;29;31;21;83;2;10;4;32;2;33;27;-1;3;23,45;2;2,549;1;7;0;3;0;0;0;;;167
33;8;14.03.2024;20;39;29;31;21;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;5;0;3;0;0;0;;;168
33;8;14.03.2024;20;39;29;31;21;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;5;0;3;0;0;0;;;169
30;5;15.03.2024;16;52;28;32;1;87;7;23;5;56;5;30;30;-12;2;27,47;3;3,002;2;6;0;3;0;0;0;;;170
30;5;22.03.2024;16;52;28;32;8;210;7;34;6;55;4;33;33;-10;3;30,11;3;3,06;2;8;0;3;0;0;0;;;171
30;5;22.03.2024;16;52;28;32;8;123;7;30;5;51;4;40;58;-9;3;25,66;3;2,878;2;8;0;3;0;0;0;;;172
17;2;26.03.2024;3;30;30;30;2;163;3;13;4;35;2;45;30;-12;2;21,36;2;2,555;1;3;0;3;0;0;0;;;173
17;2;26.03.2024;3;30;30;30;2;214;3;29;5;47;4;35;73;-10;3;25,71;3;2,84;2;4;0;3;0;0;0;;;174
17;2;25.03.2024;3;30;30;30;1;97;2;3;2;27;2;33;56;0;3;21,45;2;2,393;1;18;0;3;0;0;2;;;175
17;2;25.03.2024;3;30;30;30;1;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;16;0;3;0;0;2;;;176
9;2;25.03.2024;3;31;30;39;10;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;28;1;3;0;0;0;;;177
9;2;25.03.2024;3;31;30;39;10;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;16;0;3;0;0;0;;;178
16;7;25.03.2024;8;43;31;32;13;25;4;3;2;37;3;32;34;-6;3;25,86;3;2,7;2;11;0;3;0;0;1;;;179
16;7;25.03.2024;8;43;31;32;13;164;4;15;4;39;3;32;30;-2;3;26,2;3;2,728;2;15;0;3;0;0;1;;;180
16;7;25.03.2024;8;43;31;32;13;194;4;22;5;48;4;24;21;-10;3;32,1;3;3,034;2;10;0;3;0;0;1;;;181
16;7;25.03.2024;8;43;31;32;13;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;16;0;3;0;0;1;;;182
47;5;29.03.2024;13;41;29;31;3;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;7;0;3;0;0;0;;;183
47;5;29.03.2024;13;41;29;31;3;180;5;15;4;50;4;28;26;0;3;25,5;3;2,864;2;18;0;3;0;0;0;;;184
49;4;28.03.2024;15;54;45;45;5;167;4;24;5;46;4;30;46;7;3;30,86;3;2,961;2;19;0;3;0;0;0;;;185
49;4;28.03.2024;15;54;45;45;5;165;4;25;5;45;3;33;36;-9;3;24,21;2;2,758;2;6;0;3;0;0;0;;;186
49;4;28.03.2024;15;54;45;45;5;25;4;3;2;37;3;32;34;-6;3;25,86;3;2,7;2;14;0;3;0;0;0;;;187
47;5;28.03.2024;13;41;29;31;2;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;6;0;3;0;0;0;;;188
36;9;28.03.2024;15;50;32;30;17;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;6;0;3;0;0;0;;;189
