ФИО_аудитора_ПАБ;Должность_(профессия)_аудитора_ПАБ;Дата_проведения_ПАБ;Стаж_аудитора_ПАБ;Возраст_аудитора_ПАБ;Продолжительность_междувахтового_отдыха_аудитора_ПАБ;Продолжительность_вахты аудитора_ПАБ;Время_на_вахте_аудитора_ПАБ;ФИО_работника;Профессия_работника;Стаж_работника;Стаж_категории;Возраст_работника;Возраст_категории;Продолжительность_вахты;Продолжительность_междувахтового_отдыха;Балл_анкетирования;Балл_категории;Индекс_массы_тела;Индекс_категории;Адаптационный_потенциал;Адаптационный_потенциал_категории;Нахождение_на_рабочей_вахте;Физическое_утомление;Месяц_ПАБ;Переход_из_ночной_смены;Выход_после_праздника;Выявленные_опасные_действия
8;4;03.01.2024;2;31;31;30;26;151;2;8;4;32;2;47;31;0;3;20,45;2;2,464;1;40;1;1;0;1;1
8;4;03.01.2024;2;31;31;30;26;97;2;3;2;26;2;35;30;0;3;21,45;2;2,393;1;27;1;1;0;1;1
41;6;19.01.2024;10;50;32;55;48;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;12;0;1;0;0;0
41;6;19.01.2024;10;50;32;55;48;64;1;11;4;35;2;30;47;-3;3;30,67;3;2,798;2;9;0;1;0;0;0
49;4;25.01.2024;15;54;32;30;17;165;4;25;5;45;3;32;34;-9;3;24,21;2;2,758;2;11;0;1;0;0;0
49;4;25.01.2024;15;54;32;30;17;25;4;3;2;37;3;36;19;-6;3;25,86;3;2,7;2;11;0;1;0;0;0
39;3;25.01.2024;16;52;41;46;1;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;23;0;2;0;0;0
39;3;25.01.2024;16;52;41;46;1;127;3;6;4;33;2;30;77;-5;3;23,54;2;2,554;1;1;0;1;0;0;0
39;3;26.01.2024;16;52;41;46;2;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;17;0;1;0;0;0
39;3;26.01.2024;16;52;41;46;2;191;3;33;6;55;4;33;44;-4;3;19,91;2;2,781;2;4;0;1;0;0;0
43;10;26.01.2024;33;55;44;33;4;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;17;0;1;0;0;0
43;10;27.01.2024;33;55;44;33;5;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;18;0;1;0;0;0
43;10;27.01.2024;33;55;44;33;5;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;1;0;1;0;0;0
51;12;27.01.2024;34;55;30;28;14;174;7;33;6;55;4;30;32;-23;2;34,02;3;3,168;3;19;0;1;0;0;0
47;5;27.01.2024;13;41;48;31;1;113;5;9;4;41;3;35;23;3;3;22,72;2;2,671;2;20;0;1;0;0;0
47;5;27.01.2024;13;41;48;31;1;43;5;15;4;51;4;45;32;5;3;24,76;2;2,851;2;19;0;1;0;0;0
47;5;29.01.2024;13;41;48;31;3;113;5;9;4;41;3;35;23;3;3;22,72;2;2,671;2;22;0;1;0;0;0
47;5;29.01.2024;13;41;48;31;3;43;5;15;4;51;4;45;32;5;3;24,76;2;2,851;2;21;0;1;0;0;0
12;2;03.02.2024;9;38;42;47;12;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;27;1;2;0;0;0
12;2;03.02.2024;9;38;42;47;12;127;3;6;4;33;2;30;77;-5;3;23,54;2;2,554;1;10;0;2;0;0;0
39;3;02.02.2024;16;52;41;46;9;191;3;33;6;55;4;33;44;-4;3;19,91;2;2,781;2;11;0;2;0;0;0
39;3;02.02.2024;16;52;41;46;9;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;7;0;2;0;0;0
39;3;02.02.2024;16;52;41;46;9;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;24;0;2;0;0;0
39;3;01.02.2024;16;52;41;46;8;191;3;33;6;55;4;33;44;-4;3;19,91;2;2,781;2;10;0;2;0;0;0
39;3;01.02.2024;16;52;41;46;8;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;6;0;2;0;0;0
39;3;01.02.2024;16;52;41;46;8;54;3;19;5;45;3;36;17;-5;3;24,49;2;2,767;2;23;0;2;0;0;0
7;1;02.02.2024;15;52;23;39;18;165;4;25;5;45;3;32;34;-9;3;24,21;2;2,758;2;19;0;2;0;0;0
7;1;02.02.2024;15;52;23;39;18;194;4;22;5;48;4;43;49;-10;3;32,1;3;3,034;2;22;0;2;0;0;0
7;1;02.02.2024;15;52;23;39;18;164;4;15;4;39;3;33;29;-2;3;26,2;3;2,728;2;26;1;2;0;0;0
7;1;02.02.2024;15;52;23;39;18;103;4;8;4;44;3;43;34;-10;3;32,66;3;2,969;2;22;0;2;0;0;0
9;2;03.02.2024;3;31;32;30;19;164;4;15;4;39;3;33;29;-2;3;26,2;3;2,728;2;27;1;2;0;0;0
9;2;03.02.2024;3;31;32;30;19;165;4;25;5;45;3;32;34;-9;3;24,21;2;2,758;2;20;0;2;0;0;0
9;2;03.02.2024;3;31;32;30;19;194;4;22;5;48;4;43;49;-10;3;32,1;3;3,034;2;23;0;2;0;0;0
9;2;03.02.2024;3;31;32;30;19;110;4;21;5;44;3;30;17;-2;3;29,41;3;2,888;2;26;1;2;0;0;0
9;2;03.02.2024;3;31;32;30;19;103;4;8;4;44;3;43;34;-10;3;32,66;3;2,969;2;23;0;2;0;0;0
9;2;03.02.2024;3;31;32;30;19;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;16;0;2;0;0;0
20;6;03.02.2024;14;47;47;59;11;137;2;17;5;39;3;30;47;-1;3;33,39;3;2,953;2;25;0;2;0;0;0
20;6;03.02.2024;14;47;47;59;11;171;2;15;4;47;4;36;108;-9;3;25,11;3;2,804;2;24;0;2;0;0;0
20;6;03.02.2024;14;47;47;59;11;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;10;0;2;0;0;0
20;6;03.02.2024;14;47;47;59;11;81;2;23;5;45;3;30;78;-18;2;24,62;2;2,753;2;26;1;2;0;0;0
30;5;05.02.2024;16;52;30;32;22;201;7;14;4;44;3;39;32;1;3;29,05;3;2,879;2;21;0;2;0;0;0
30;5;05.02.2024;16;52;30;32;22;210;7;34;6;55;4;28;30;-10;3;30,11;3;3,06;2;23;0;2;0;0;0
30;5;05.02.2024;16;52;30;32;22;174;7;33;6;55;4;30;32;-23;2;34,02;3;3,168;3;28;1;2;0;0;0
17;2;06.02.2024;3;30;23;39;22;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;19;0;2;0;0;1
17;2;06.02.2024;3;30;23;39;22;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;30;1;2;0;0;1
17;2;07.02.2024;3;30;23;39;23;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;20;0;2;0;0;0
17;2;07.02.2024;3;30;23;39;23;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;31;1;2;0;0;0
16;7;08.02.2024;8;43;33;32;30;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;21;0;2;0;0;1
16;7;08.02.2024;8;43;33;32;30;83;2;10;4;32;2;33;84;-1;3;23,45;2;2,549;1;32;1;2;0;0;1
20;6;07.02.2024;14;47;47;59;15;137;2;17;5;39;3;30;47;-1;3;33,39;3;2,953;2;29;1;2;0;0;0
20;6;07.02.2024;14;47;47;59;15;171;2;15;4;47;4;36;108;-9;3;25,11;3;2,804;2;28;1;2;0;0;0
20;6;07.02.2024;14;47;47;59;15;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;14;0;2;0;0;0
51;12;09.02.2024;34;55;30;28;27;50;7;23;5;45;3;28;32;-24;2;37,74;3;3,154;3;1;0;2;0;0;0
51;12;09.02.2024;34;55;30;28;27;30;7;10;4;33;2;36;56;-1;3;26,1;3;2,608;2;31;1;2;0;0;0
30;5;09.02.2024;16;52;30;32;5;32;7;5;3;25;1;32;30;-5;3;22,92;2;2,442;1;30;1;2;0;0;0
30;5;09.02.2024;16;52;30;32;5;50;7;23;5;45;3;28;32;-24;2;37,74;3;3,154;3;1;0;2;0;0;0
30;5;09.02.2024;16;52;30;32;5;30;7;10;4;33;2;36;56;-1;3;26,1;3;2,608;2;31;1;2;0;0;0
47;5;08.02.2024;13;41;48;31;13;113;5;9;4;42;3;35;23;3;3;22,72;2;2,671;2;32;1;2;0;0;0
47;5;08.02.2024;13;41;48;31;13;43;5;15;4;51;4;45;32;5;3;24,76;2;2,851;2;31;1;2;0;0;0
51;12;09.02.2024;34;55;30;28;27;32;7;5;3;25;1;32;30;-5;3;22,92;2;2,442;1;30;1;2;0;0;0
9;2;05.02.2024;3;31;32;30;21;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;21;0;2;0;0;0
12;2;07.02.2024;9;38;42;47;16;107;2;3;2;26;2;28;37;2;3;22,92;2;2,456;1;20;0;2;0;0;0
12;2;07.02.2024;9;38;42;47;16;64;1;11;4;35;2;30;47;-3;3;30,67;3;2,798;2;28;1;2;0;0;0
14;8;16.02.2024;30;56;63;28;8;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;23;0;2;0;0;0
14;8;16.02.2024;30;56;63;28;8;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;23;0;2;0;0;0
14;8;19.02.2024;30;56;63;28;8;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;23;0;2;0;0;0
14;8;19.02.2024;30;56;63;28;8;186;2;13;4;40;3;30;75;11;4;29,67;3;2,841;2;23;0;2;0;0;0
14;8;19.02.2024;30;56;63;28;8;152;6;12;4;52;4;30;30;9;3;37,04;3;3,225;3;5;0;2;0;0;0
7;1;19.02.2024;15;52;23;39;35;59;4;15;4;44;3;30;30;-1;3;24,44;2;2,753;2;10;0;2;0;0;0
7;1;19.02.2024;15;52;23;39;35;155;4;6;4;30;2;30;19;-2;3;23,7;2;2,521;1;5;0;2;0;0;0
5;1;19.02.2024;8;53;23;35;11;119;4;27;5;50;4;30;40;13;4;26,42;3;2,891;2;4;0;2;0;0;0
5;1;19.02.2024;8;53;23;35;11;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;4;0;2;0;0;0
5;1;19.02.2024;8;53;23;35;11;36;4;3;2;28;2;46;30;-3;3;31,79;3;2,745;2;12;0;2;0;0;0
43;10;19.02.2024;33;55;44;33;28;207;3;22;5;56;5;31;46;-18;2;27,76;3;3,011;2;24;0;2;0;0;0
43;10;19.02.2024;33;55;44;33;28;127;3;6;4;33;2;30;77;-5;3;23,54;2;2,554;1;26;1;2;0;0;0
43;10;22.02.2024;33;55;44;33;31;213;3;10;4;28;2;33;43;6;3;28,01;3;2,628;2;15;0;2;0;0;0
4;2;24.02.2024;7;35;43;34;43;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;15;0;2;0;1;1
4;2;24.02.2024;7;35;43;34;43;119;4;27;5;50;4;30;40;13;4;26,42;3;2,891;2;9;0;2;0;1;1
4;2;24.02.2024;7;35;43;34;43;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;9;0;2;0;1;1
4;2;24.02.2024;7;35;43;34;43;36;4;3;2;28;2;46;30;-3;3;31,79;3;2,745;2;17;0;2;0;1;1
4;2;24.02.2024;7;35;43;34;43;31;4;21;5;50;4;33;38;7;3;35,8;3;3,17;3;2;0;2;0;1;1
15;5;27.02.2024;16;53;30;30;13;153;7;24;5;53;4;28;32;-17;2;27,77;3;2,969;2;18;0;2;0;0;0
15;5;27.02.2024;16;53;30;30;13;79;7;24;5;47;4;29;31;-6;3;34,72;3;3,9;4;1;0;2;0;0;0
33;8;26.02.2024;20;39;29;31;4;212;3;24;5;45;3;28;41;4;3;27,78;3;2,857;2;2;0;2;0;0;0
33;8;26.02.2024;20;39;29;31;4;31;4;21;5;50;4;33;38;7;3;35,8;3;3,17;3;4;0;2;0;0;0
33;8;26.02.2024;20;39;29;31;4;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;17;0;2;0;0;0
33;8;26.02.2024;20;39;29;31;4;15;2;8;4;31;2;28;137;2;3;26,32;3;2,616;2;2;0;2;0;0;0
6;2;28.02.2024;8;37;32;28;4;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;2;0;2;0;0;0
6;2;28.02.2024;8;37;32;28;4;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;19;0;2;0;0;0
15;5;29.02.2024;16;53;30;30;15;29;7;31;6;55;4;28;32;-8;3;29,83;3;3,06;2;14;0;2;0;0;0
15;5;29.02.2024;16;53;30;30;15;20;7;7;4;31;2;28;32;1;3;24,45;2;2,562;1;6;0;2;0;0;0
6;2;29.02.2024;8;37;32;28;5;57;2;4;3;36;3;24;36;5;3;25,5;3;2,668;2;14;0;2;0;0;0
6;2;29.02.2024;8;37;32;28;5;17;4;23;5;46;4;30;48;-18;2;30,93;3;2,961;2;20;0;2;0;0;0
29;5;28.02.2024;4;40;27;33;6;118;5;17;5;42;3;29;33;-32;1;26,8;3;2,788;2;17;0;2;0;0;0
29;5;28.02.2024;4;40;27;33;6;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;13;0;2;0;0;0
29;5;24.02.2024;4;40;27;33;2;118;5;17;5;42;3;29;33;-32;1;26,8;3;2,788;2;13;0;2;0;1;0
29;5;24.02.2024;4;40;27;33;2;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;9;0;2;0;1;0
36;9;01.02.2024;15;50;32;30;17;113;5;9;4;41;3;35;23;3;3;22,72;2;2,671;2;25;0;2;0;0;0
29;5;02.03.2024;4;40;27;33;9;158;5;28;5;55;4;28;36;-9;3;26,49;3;2,961;2;16;0;3;0;0;0
29;5;02.03.2024;4;40;27;33;9;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;16;0;3;0;0;0
29;5;01.03.2024;4;40;27;33;8;27;5;7;4;38;3;28;63;-31;1;24,2;2;2,669;2;15;0;3;0;0;0
29;5;01.03.2024;4;40;27;33;8;41;5;17;5;54;4;35;40;-3;3;32,24;3;3,109;3;10;0;3;0;0;0
12;2;03.03.2024;9;38;42;47;41;15;2;8;4;31;2;28;137;2;3;26,32;3;2,616;2;8;0;3;0;0;0
12;2;03.03.2024;9;38;42;47;41;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;6;0;3;0;0;0
39;3;06.03.2024;16;52;41;46;42;44;3;23;5;42;3;31;29;3;3;23,2;2;2,671;2;13;0;3;0;0;0
39;3;06.03.2024;16;52;41;46;42;106;3;30;5;48;4;29;46;-10;3;26,3;3;2,854;2;9;0;3;0;0;0
39;3;06.03.2024;16;52;41;46;42;213;3;10;4;28;2;33;43;6;3;28,01;3;2,628;2;28;1;3;0;0;0
12;2;06.03.2024;9;38;42;47;44;130;2;4;3;30;2;27;31;-3;3;22,88;2;2,508;1;24;0;3;0;0;0
12;2;06.03.2024;9;38;42;47;44;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;9;0;3;0;0;0
5;1;07.03.2024;8;53;23;35;28;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;10;0;3;0;0;0
5;1;07.03.2024;8;53;23;35;28;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;21;0;3;0;0;0
5;1;07.03.2024;8;53;23;35;28;60;4;6;4;38;3;28;26;9;3;30,78;3;2,826;2;27;1;3;0;0;0
20;6;07.03.2024;14;47;47;59;44;172;2;3;2;32;2;29;31;-3;3;32,4;3;2,828;2;11;0;3;0;0;0
20;6;07.03.2024;14;47;47;59;44;202;2;24;5;54;4;28;63;3;3;23,45;2;2,848;2;12;0;3;0;0;0
20;6;07.03.2024;14;47;47;59;44;56;2;5;3;27;2;46;32;-22;2;29,06;3;2,641;2;43;1;3;0;0;0
15;5;12.03.2024;16;53;30;30;27;174;7;33;6;55;4;30;30;-23;2;34,02;3;3,168;3;4;0;3;0;0;0
15;5;12.03.2024;16;53;30;30;27;95;7;17;5;39;3;34;57;-37;1;28,68;3;2,8;2;32;1;3;0;0;0
20;6;13.03.2024;14;47;47;59;50;137;2;17;5;40;3;34;32;-1;3;33,39;3;2,953;2;2;0;3;0;0;0
20;6;13.03.2024;14;47;47;59;50;81;2;23;5;45;3;30;30;-18;2;24,62;2;2,753;2;5;0;3;0;0;0
33;8;14.03.2024;20;39;29;31;21;83;2;10;4;32;2;33;27;-1;3;23,45;2;2,549;1;7;0;3;0;0;0
33;8;14.03.2024;20;39;29;31;21;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;5;0;3;0;0;0
33;8;14.03.2024;20;39;29;31;21;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;5;0;3;0;0;0
30;5;15.03.2024;16;52;28;32;1;87;7;23;5;56;5;30;30;-12;2;27,47;3;3,002;2;6;0;3;0;0;0
30;5;22.03.2024;16;52;28;32;8;210;7;34;6;55;4;33;33;-10;3;30,11;3;3,06;2;8;0;3;0;0;0
30;5;22.03.2024;16;52;28;32;8;123;7;30;5;51;4;40;58;-9;3;25,66;3;2,878;2;8;0;3;0;0;0
17;2;26.03.2024;3;30;30;30;2;163;3;13;4;35;2;45;30;-12;2;21,36;2;2,555;1;3;0;3;0;0;0
17;2;26.03.2024;3;30;30;30;2;214;3;29;5;47;4;35;73;-10;3;25,71;3;2,84;2;4;0;3;0;0;0
17;2;25.03.2024;3;30;30;30;1;97;2;3;2;27;2;33;56;0;3;21,45;2;2,393;1;18;0;3;0;0;1
17;2;25.03.2024;3;30;30;30;1;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;16;0;3;0;0;1
9;2;25.03.2024;3;31;30;39;10;48;2;10;4;34;2;29;47;0;3;26,47;3;2,681;2;28;1;3;0;0;0
9;2;25.03.2024;3;31;30;39;10;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;16;0;3;0;0;0
16;7;25.03.2024;8;43;31;32;13;25;4;3;2;37;3;32;34;-6;3;25,86;3;2,7;2;11;0;3;0;0;1
16;7;25.03.2024;8;43;31;32;13;164;4;15;4;39;3;32;30;-2;3;26,2;3;2,728;2;15;0;3;0;0;1
16;7;25.03.2024;8;43;31;32;13;194;4;22;5;48;4;24;21;-10;3;32,1;3;3,034;2;10;0;3;0;0;1
16;7;25.03.2024;8;43;31;32;13;151;2;8;4;33;2;36;59;0;3;20,45;2;2,464;1;16;0;3;0;0;1
47;5;29.03.2024;13;41;29;31;3;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;7;0;3;0;0;0
47;5;29.03.2024;13;41;29;31;3;180;5;15;4;50;4;28;26;0;3;25,5;3;2,864;2;18;0;3;0;0;0
49;4;28.03.2024;15;54;45;45;5;167;4;24;5;46;4;30;46;7;3;30,86;3;2,961;2;19;0;3;0;0;0
49;4;28.03.2024;15;54;45;45;5;165;4;25;5;45;3;33;36;-9;3;24,21;2;2,758;2;6;0;3;0;0;0
49;4;28.03.2024;15;54;45;45;5;25;4;3;2;37;3;32;34;-6;3;25,86;3;2,7;2;14;0;3;0;0;0
47;5;28.03.2024;13;41;29;31;2;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;6;0;3;0;0;0
36;9;28.03.2024;15;50;32;30;17;113;5;9;4;42;3;24;40;3;3;22,72;2;2,671;2;6;0;3;0;0;0
47;5;27.03.2024;13;41;29;31;1;134;5;29;5;57;5;32;30;-32;1;37,18;3;3,277;3;13;0;3;0;0;0
36;9;27.03.2024;15;50;32;30;16;134;5;29;5;57;5;32;30;-32;1;37,18;3;3,277;3;13;0;3;0;0;0
51;12;29.03.2024;34;55;30;28;15;51;7;13;4;42;3;28;26;-10;3;25,99;3;2,761;2;18;0;3;0;0;0
51;12;29.03.2024;34;55;30;28;15;123;7;30;5;51;4;40;58;-9;3;25,66;3;2,878;2;15;0;3;0;0;0
42;3;30.03.2024;4;34;44;32;20;163;3;13;4;35;2;45;30;-12;2;21,36;2;2,555;1;7;0;3;0;0;0
7;1;30.03.2024;15;52;30;45;6;97;2;3;2;27;2;33;56;0;3;21,45;2;2,393;1;23;0;3;0;0;1
7;1;30.03.2024;15;52;30;45;6;207;3;22;5;56;5;31;29;-18;2;27,76;3;3,011;2;4;0;3;0;0;1
8;4;19.03.2024;23;46;30;30;22;25;4;3;2;37;3;32;34;-6;3;25,86;3;2,7;2;5;0;3;0;0;0
8;4;19.03.2024;23;46;30;30;22;164;4;15;4;39;3;32;30;-2;3;26,2;3;2,728;2;9;0;3;0;0;0
2;11;07.03.2024;23;46;48;30;27;36;4;3;2;28;2;46;30;-3;3;31,79;3;2,745;2;29;1;3;0;0;0
2;11;07.03.2024;23;46;48;30;27;60;4;6;4;38;3;28;26;9;3;30,78;3;2,826;2;27;1;3;0;0;0
2;11;07.03.2024;23;46;48;30;27;105;4;13;4;47;4;30;28;1;3;27,7;3;2,885;2;21;0;3;0;0;0
2;11;01.03.2024;23;46;48;30;21;119;4;27;5;50;4;30;40;13;4;26,42;3;2,891;2;15;0;3;0;0;0
