Message;Real_Risk
Не очищены от снега подходы к столбикам заземления пожарной техники возле дизельных электростанций.;0
Нарушена взрывозащита на светильнике №6 позиция 27. (Трещина на стекле);0
В шкафах управления приточной вентиляции поз.33 отсутствует маркировка ПЧ П1, ПЧ П2.;0
Засохшие валики в камере ВХ4;0
Недостаточное освещение на модуле арм бл 2 (К1.2);0
Подтёки масла на насосе Н6-2 в насосной метанола;1
Наледь на козырьках СВО,ГПА№911-913.;0
Провис защитного металлорукава на кабеле (кран №9 ГПА-122);0
Обледенение козырька ДЭС-3,4.;0
В мастерской УТОБТДА над сверлильным станком отсутствует свет, по причине перегорания лампы;0
Засыпаны снегом привода кранов обвязки ЦБН;0
ГТЭС-48. ЭМ №1. Не в полном объёме очищена площадка выкатки ГТД ЭБ №1;1
Трещины на раструбе огнетушителя в отсеке двигателя ГПА-221.;0
Промаслянные пятна на маслобаке компрессора ГПА№913;0
ЦРД 2й этаж, проход между И-1/2 и И-1/3 посторонние предметы (металлические пластины);1
Обледенение путей передвижения от БППП до БВП.;0
Перегорела лампа освещения на пульту БППП (УППГ-3В);0
Наледь на ступенях входа в БППП (УППГ-3В);0
Отсутствует пломба на фланцевых соединениях трубопровода нагнетания, насоса Н1-23 в насосной.;0
Поврежден хомут крепления огнетушителя в здании АБК МРУ.;0
Обледенение ступеней площадки входа в операторную,галерею ППА и УЗГ.;0
УЭМПГиГРС, снег на подходах к пожарным гидрантам.;0
"АГРС ""Промбаза"", б/б БТПГ, б/б редуцир. Наличие наносов снега на кабельной эстакаде. Наличие снега с наледью на козырьке и свисание их с крыши. При потеплении не исключена вероятность падения снега со льдом на подходные пути работников.";0
РММ (курилка). Необходима замена шланга у огнетушителя, присутствует внешний дефект;0
В вагон-складе электромонтеров вышла из строя одна секция освещения., на левой стороне верхних полок стеллажа хаотично лежит инвентарь выпирая за границы полок, риск получения травмы персонала в следствии недостаточного освещения при прохождении между стеллажами.;0
В вагон-складе электромонтеров обнаружена непригодная спецодежда;1
ЦРД Н6/2 трубопровод входа воды не закреплен крепежным хомутом;0
ЦРД тамбур-шлюз не горит аварийное освещение;0
К подходам АБК следует дополнить противоскользящий материал, имеются пробелы наледи на проходных путях.;0
Сломана ручка управления воздушной заслонки на вентиляционной шахте обогрева ангара ГПА №-912.;0
Цех основного производства (поз.2). Наледь на маршевой лестнице глваного входа.;0
Площадка переключающей арматуры (поз.30). Занесена снегом площадка.;0
СЭБ (поз.34) - Ослабнение крепления перилл на маршевой лестнице.;1
Поз.19 (Фильтр тонкой очистки 20Ф1/4). Повреждение бирки с нумерацией на ЗРА.;0
Поз.19 (Фильтр тонкой очистки 20Ф1/2). Повреждение маркера-указателя с направлением движениря среды.;0
"Отсутствует табличка ""НЕ ОТКРЫВАТЬ"" на кране №1 ГПА№626 (ГПА в ремонте).";0
Нет освещения во всаскамере ГПА №612.;0
Недостаточное освещение на выходе со слесарной мастерской.;0
Отсутствует знак безопасности на входе в ГПА№911.;1
Не обработаны пути передвижения по территории обхода антигололедным средством;0
"Отсутствует надпись направления вращения ""открыта-закрыта"",крана 13р, ГПА№913";0
Не исправен доводчик двери в тамбур ГПА№916.;0
"Повреждена табличка ""выход"" в тамбуре ГПА№912";0
Занесён подход снегом кранового узла первый группы ДКС.;0
Занесены снегом площадки обслуживания ГПА;0
Отсутствует табличка на кр.№2 ГПА №714;0
Загрязнена и в пыли поверхность приточной вентиляции П3-1;0
Утеряна табличка с параметрами, сроками службы, НВО, ГИ теплообменника Т-1р/1;0
Посторонние предметы в венткамере Цеха регенерации метанола.;0
Наносы снега на стабилизаторах пластично-мерзлых грунтов со стороны ЦПГ-1 очереди.;0
Наледь на козырьке выхода с р1а на АВО;0
Течь теплоносителя в месте установки термометра в обратном контуре системы П-1/2 в помещении приточной венкамеры №1 цеха сепарации газа №3;1
Повреждена изоляция на трубопроводе НДЭГА Т3.1;0
поз.173. Не достаточное освещение внутри помещения.;1
поз.337. На трубопроводах нет направления движения жидкости.;1
поз.337. Не подписаны кнопки включения - отключения насосов.;1
Наличие снега и наледи на площадке обслуживания П-601;0
Недостаточное освещение под КШТ, ГПА №714.;0
Отсутствует крепежный болт на ЭКМ на линии подпитки;0
Отсутствие бирки на напоромере на подаче воздуха в котел;0
Поз.3а Занесены снегом подходы к газоанализаторам.;0
Лёд на входе в ОД ГПУ №214;1
Снег на лестнице в торце технологического корпуса;1
Не горит лампа аварийного освещения возле Е-4, Е-8 ТКДМ;0
Не достаточно освещён ЦПГ не работают 10 светильников.;0
Перед входными дверями образовался ледяной бугор.На крыше над входными дверями сосульки.;1
На ступеньках входной лестницы здания БВС образование наледи.;0
ГТЭС-48. Пути передвижения в районе ЭМ №1 требуют частичной посыпки противогололедным материалом.;0
"Прослабло уплотнение кабеля на датчике ""температура масла на ПОПН"" ГПА-122";1
Повреждена изоляция на трубопроводе топливного газа на горелки ПТПГ-30.;0
Негерметичен дренажный вентиль системы отопления (ЦРД в районе В-1/3);1
ЦРД. Не читаема информационная таблица загрузки Ндэга на ПОРД.;0
Маслянные подтеки на станине Н-404.1;0
Занесены снегом пути передвижения на маслохозяйстве.;0
Не очищены от снега подходы к входам ППА.;0
Перегорела лампа в районе С-1 (УППГ-3В);0
Наледь на входе в торце техкорпуса (УППГ-3В);0
"Отсутствует табличка ""выход"" над дверью из отсека двигателя Т/А №112.";0
Занесена снегом лестничная площадка входа в ЦРД;0
Вибрация на насосе Н-10 А.;0
Дизельная электростанция ДЭС-500.Выцветание кабельные бирки на оборудовании пожарной сигнализации.;0
Дизельная электростанция ДЭС-200.Места сварки стойки трубы УГП не закреплен;0
КПП электрощитовая.Отсутсвует диспетчерское наименовние на понижающем трансформаторе 220/12В;1
Маш. зал Модуля №4.Неисправность теплообменника агрегата отопительного.;0
Модуль 1 ЭТБ коридор.Пороги дверей окрашены в желтый цвет без черного.;0
Недостаточное освещение в насосной метанола.;0
Занесена снегом лестничная площадка входа в ПЗБ ДКС;0
Над входом в АБК из Производственного корпуса не работает указательная табличка Выход охранно-пожарной сигнализации;1
Вышел из строя светильник, освещавший схему движения АТС по территории производственной базы УТТиСТ в п. Новозаполярный;1
"ГТЭС-24, ТМБ, каб.222, отсутствует бирка ""220В"" на розетке";0
Наличие наледи на двери ОД ГПУ-212;0
Занесен снегом подход к крановому узлу второй группы ДКС.;0
Образование наледи на лестничных маршах объекта КАДС.;0
Пожарный гидрант №4 и №21 ( напротив поз.2) завален снегом после проезда техники;0
Выцвела информационная табличка на блок-боксе ЭХЗ КГС №114 УКПГ-1С.;0
На КГС №134 упал кабель ЭХЗ с эстакады.;0
Нарушено ЛКП. АГРС. Поз.№13. Задвижка №14.;1
Заметена лестница поз 1. АГРС. Блок редуцирования газа.;0
На корпусе воздухавода АВОМК отсутствует обозначение направления движения среды, ГПА №-915.;0
Не очищены от снега пож выхода в ЗПА;1
Вент камера в ЗПА не достаточное освещение;1
ВПС, наличие наледи на лестничных маршах перехода между насосной конденсата и МКС.;1
Въездные ворота на территорию УМС занесены снегом, проезд затруднён;1
"АГРС ""Промбаза"", (б/б замер.диаф.,ТП). Наличие снега и наледи на путях передвижения, риск падения работника на скользкой поверхности. Наличие посторонних предметов в помещении.";1
"УКЗ АГРС ""Промбаза"". Подходные пути заметены снегом.";1
"УКЗ АГРС ""Промбаза"". Отсутствие освещения на станции";0
Подтёки смазочного материала насоса Н6-1;0
Образование на крыше наледи над входом в помещение;0
Наледь на козырьке. Выход с бппп 2 этаж;0
ВХ 5 посторонний предмет. (шланг в вент камере);0
б/б НДиМ. На задвижке номер 1 отсутствует надпись направления вращения (Откр. Закр);1
Наличие наледи на двери ОН ГПА №723.;1
"Снег на выходе в зону ""В""";0
Обледенели ступеньки на выходе с ЦПГ со стороны АВО.;0
Неисправен доводчик двери на вхоже в ТКПГ, район А-1/1.;0
Занесена снегом лестничная площадка,наледь на ступенях выхода №3 ЦРД.;0
Неисправна ручка двери входа в ЦРМ (со стороны переходной галереи БППП);0
После работы спец. техники выявлен скользкий участок на пути передвижения здания ЛЭС и АБК МРУ.;1
"Нарушена целостность заземляющего проводника на преобразователе перепада давлений ""масло-газ"" ГПА-122";0
Огнетушитель убран из под знака обозначения огнетушителя в насосной метанола (УППГ-3В);0
Ослаб хомут крепления линии выкида насоса Н10А-1 (УППГ-3В);0
Мусор, посторонние предметы в ангаре ГПА №215.;0
Неисправность работы доводчка двери в УПТИГ КЦ-1.;0
"На воротах п.337 обветшала табличка ""запретная зона! проезд закрыт!";0
Набои снега на ступеньках основного входа в ангар ГПА №215.;0
Обледенение подхода к лестничному маршу КПП.;1
В помещении № 101 УОГ ДКС посторонние предметы .;0
Нет освещения на запасном выходе с ПЭБА.;0
"Снег , наледь на площадке обслуживания подачи метанола на скважины ( зона ""В"") вероятность падения работника";0
Отсутствует информационная бирка на манометре дренажной линии насоса Н-12.;0
Занесён снегом пожарный гидрант №2;0
Подтёки масленой жидкости ЦПГ возле Е-14;0
В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.;0
Наружное освещение ВЛО-9 не работают два светильника.;1
Отсутствует информационная табличка ответственных за противопожарное состояние на входе в БПТПГ КЦ-2.;1
Не посыпаны песком пути передвижения возле центрального входа БВП;1
Оторвано опломбирование устройства для изменения уставок на электроконтактном манометре в насосной метанола насос Н-3.;0
ГТЭС-48. Требуется очистка маршевой лестницы теплового пункта №4.;0
Не очищена от снега входная лестница склада масел.;1
ЦРД Н-4/1 низкий уровень масла в холодильнике-маслобаке;0
ЦРД Н-4/3 не достаточное освещение;0
На козерке выход из ЦПГ образовались сосульки.;0
На позиции №341 посторонние предметы.;0
На позиции №341 отсутствует номер на З.Р.А. и положения открыто и закрыто.;0
Посторонние предметы в компрессорной позиция №56.;0
Заснежено с торца БППП;0
ВХ3 отсутствие на двери информационной таблички.(отклеелась);0
Посторонние предметы ЦРМ( фланец возле Н4а4;0
Не убран снег возле здания б/б ГСМ.;0
Занесены снегом подходы в УПТИГ.;0
В приточной вентиляционной камере ЦРД посторонние предметы (огарки, шпилька).;1
Не убрано рабочее место в слесарной мастерской, на верстаке слесарные инструменты и металл.;1
Сосульки на крыше ЦРД, наледь на козырьке;0
Наледь на выходе №2 из БППП;0
Посторонние предметы (ветошь) под лестницей в переходной галерее ЦПГ;0
Снег и наледь на ступени переходной лестницы УПТ - ЦРД;0
Занесена снегом площадка обслуживания;0
Наледь на ступенях входа в ПЭБ ДКС;0
ЦСГ-3, наледь на козырьках входов в цех.;0
ЦСГ, отсутствуют лопаты от ящиков для песка № 28.29.30.;0
ЦСГ-3, посторонние предметы в юбках ФС.;0
Посторонние предметы (ветошь, фильтры) в ОМА.;0
Обледенение путей передвижения от операторной до галереи ППА.;1
Перегорела лампа освещения в насосной метанола;0
Посторонние предметы (ветошь) в ОД ГПА №721;0
поз.2 20Р2/2 на расходомере по ВМР отсутствует винт на крышке (для пломбировки);0
Заносы снега, наледь на путях передвижения, риск падения работника на скользкой поверхности;0
Маршевая лестница площадки обслуживания емкости Е-4Б занесена снегом, риск падения и травмирования работника.;0
Оборвана табличка с указанием НВО, ГИ и срока службы ВХ-1/2.;0
Отсутствует сигнальная лента на ступенях лестницы подъема на второй этаж;1
На выходе с СЭБ, наледь на нижних ступенях лестницы.;0
Отсутствует обозначение выступов и перепадов в плоскости пола, малозаметных ступеней в МХЦ КЦ №;0
Отсутствует информационная табличка на позиции: «Температура топливного газа» на ГПА-124;0
"Отсутствует указатель ""ОЗ"" на ЗРА №55, Коллектора сухого газа (Гитара)";0
Недостаточное освещение армтатурном блоке ПОРД.;0
Стремянка в тамбуре запасного выхода 1 эт. БППП (УППГ-3В);1
Отсутсвует табличка обозначения крана Г110, упала (УППГ-3В);0
Скользкое покрытие по маршруту обхода , подходы к площадкам БЕ -501, входа в цех;0
Занесены снегом площадки обслуживания УПТИ и УГ и ДКУ;0
Запарошены снегом запасные выходы с ПЭБА.;0
"ЦРД, лестница на 2й этаж, травмоопасное расположение (наличие острых граней) металлической таблички-""держаться за поручни""";0
Посторонние предметы (ведро, ветошь) в ЦПГ возле Е-7/2;0
"ЦПГ. Отсутствует табличка "" ВЫХОД"" на двери эвак.выхода ( со стороны ББРГ).";0
Сорвана пломба на фланцевом соединении трубопровода насоса Н-12.;0
Не горит освещение аварийного выхода №1 ПЭБ ДКС;0
От вибрации слетела гофра пылеуловителя с заточного станка в помещении мастерской МРУ.;0
Выявлено на полу скопление песка в коридорах и кабинетах здания АБК поз.9.18.;0
Опасный снежный навес на козырьке здания УЗГ. Возможно травмирование дежурного персонала.;0
Постороннее предметы в ангаре ГПА№911.;0
Посторонние предметы в технологическом корпусе по маршруту обхода;0
ВХ 2 посторонние предметы в помещении(металлолом);0
Не удовлетварительное состояние ЛКП Н8.1(корпус);0
Посторонние предметы (ведро с кисточами) возле Е-7 ёмкости в технологическом корпусе;1
Посторонние предметы возле входа в цех №2;0
Заснежена лестница площадки обслуживания ППА;0
Снег на складе возле емкостей и во входе на склад;0
ЗПА АВВ-1 порвана мягкая вставка;0
ЗПА не горит аварийное освещение;0
поз.4 10ПУ1/4 на манометре отсутствует красная стрелка;0
поз.4 10С1/4 на метране 150CD3 (перепад на фильтре) перевёрнут дисплей;1
поз.4 10С1/1 не подключен заземляющий проводник на датчике уровня;0
поз.1 10С1/1 с кабельного лотка слетела крышка;0
КЦ-1 ПТГ-1 и ПТГ-2, заметины подходы снегом.;0
"Затруднен проход к площадке обслуживания кранов 103;203. Заметено снегом.";0
п.2 20С-2/3 Неустановлены защитные кожуха на фланцевых соединениях;0
п.18 Не плотное прилегание противопожарной двери;0
п.1 Неисправен доводчик вхрдной двери;0
п.2 Холодное укрытие 3-4 нитка неисправен доводчик входной двери;1
Пожарный гидрант №3 Завален подход после прохода техники;0
п. 92 обледенение ступеней лестницы;0
Перегорела лампа освещения на пульту БППП;0
Сосульки на крыше УОГ.;0
Отсек нагнетателя с торца в верхней части ВВОН-1 деформированы элементы жалюзей;0
Переметы на ПАД к КШ №1, 2, 101;0
Снежный нанос на площадке обслуживания ОА ГПА № 426.;0
ЦПГр, отсутствует штурвал вентиля Д-209ар/2.;0
Заметен проход под галереей ЦПГ.;0
ГТЭС-48. Перегоревшая лампа в тамбуре БМО №2.;0
АБК. Утечка на трубопроводе ХВС.;0
КНС. Антигололёдное состояние подхода к маршрутной лестнице (риск падения человека). Отсутствие таблички с наименованием измеряемого параметра.;0
АБК. Неисправность запорного устройства двери (ручка).;0
РММ (курилка). Выход из строя обогревающего радиатора.;1
УМС. Выявлен один из канатных стропов с износом более 40% (присутствуют визуальные дефект). Высокий риск обрыва стропа при погрузочно-разгрузочных работах.;0
Посторонние предметы возле Н-9/1 (мусор) в ТКДМ.;0
Разряжен газоанализатор СЕАН (зав.№6052);0
Термоклапан в не исправном состоянии на линии приточной вентиляции П3-1 в здании ПЭБ,;0
ГТЭС-24,ОБУ, необходимо пополнить диспенсер для выдачи берушей.;0
Провис защитного металлорукава кабеля датчика «температура масла на сливе УОПН» ГПА-124;0
Ослабло крепление заземления сигнализатора двери КШТ ГПА №226;0
ЦРМ. Не опломбированы фланцевые соединения Н10А/2 (после ремонтных работ).;0
Наледь возле проходной ГП (УППГ-3В);0
"Неправильно нанесено направление ""открыто-закрыто"" на вентиле Ф421";0
Недостаточное освещение в блоке СВО ГПА №913.;0
Постороннии предметы, ветошь возле Н-404-1;0
Покрыты инеем номера кранов обвязки ЦБН на Т/А №112.;0
В ТКПГ в НМ , на путях передвижения , возле Н-4\1 масляные пятна ,скользкий пол.;0
Не расчищена от снега лестничная площадка б/б красок.;0
В ЦПГ на БТДА 1/2 затерлась бирка на маслоемкости со стороны турбины.;0
Нет маркировки на выключателях освещения б/б красок.;0
Не закреплён выключатель освещения б/б красок.;0
"Нечитаема информационная табличка- ""Держитесь за перила при передвижении по лестницам, площадкам обслуживания, переходным мостикам"". Обледение.";0
УОГ С.1.3 Метран - уровень пластовый воды, обрыв заземления.;0
поз.3 Наледь на ступенях лестницы (переходный мостик в каре);0
Наледь на кровле УРДиМ.;0
Подтёки масла на насосе Н6-1;0
Проведена ревизия работоспособности приборов службы ЭХЗ. Требуется ремонт одного трассоискателя и подзарядка имеющегося оборудования, в том числе рации и газоанализаторы.;0
Над входом в РММ не работает уличное освещение.;0
Склад УМС. После демонтажа оборудования, необходима комплексная уборка помещения.;0
РММ. В некоторых кабинетах отсутствуют дезинфицирующие средства общего пользования.;0
Перегорела лампочка аварийного освещения в тамбуре ГПА№913.;0
ПОРМ №1 с крышы свисание наледи, снега;0
ПОРМ №1 в армотурном блоке не горит аварийное освещение;0
УРДиМ,Ф-302/1,2 грязные полы.;0
Наледь перед входом в ПЭБ ДКС;0
Отсутствует стрелка на манометре у СГУ - 1,6 / 0,25.;0
Недостаточное освещение в ОН ГПА №725;0
КНС. Снег и наледь на вентиляционных дефлекторах КНС.;0
Оторвана пломба шкафа хранения аварийного запаса СИЗОД.;0
УРДиМ,грязные полы возле К401/2.;0
Образовалась наледь на перилах лестницы насосная метанола;0
Разряжен газоанализатор СГГ-4М.;0
Механизм самозакрывания входной двери (доводчик) не функционирует (ст. 88 ФЗ №123);0
Подтеки масла под насосом Н-1Г/2.;0
Мусор, посторонние предметы в помещении;0
Снег в торце технологического корпуса;0
Следы масла под фланцами входного патрубка насоса Н-6 МНЧ.;0
"Нечитаем плакат ""Стой Напряжение"" на входе в техподполье позиции 85.";0
Отсутствует бирка адреса подключения на модуле когммутации кран балки позиции 31.;1
Посторонние предметы в помещении блок бокса обогрева позиции 108.;0
ГТЭС-48. Отсутствуют моющие средства в комнате приема пищи ОБУ.;0
Неисправна лампа аварийного освещения (прерывистое свечение, мерзание), 2й этаж (раздевалка) БППП;1
Заметены снегом стекла манометров на БФ ГПА-125;0
Бочка с краской возле Е-7 (УППГ-3В);0
Наледь на подходе к ПГ-1.1 (УППГ-3В);0
ЦПГ, наледь на переходе и лестничных маршах в районе АВО газа.;0
ЦПГ, загрязнение на полу в районе БРГ-1-2, вакуумного насоса .;1
ЦПГ, частично отсутствует освещение верхней площадки в районе БТДА-1/1-6.;0
Заметены снегом подходы к узлам подключения №1,2.;0
Не достаточное освещение в насосной ДЭГа и метанола.;0
Сломан замок двери №3 ,ангара ГПА№ 914.;0
Нет освещения над запасным выходом с УПТИГа-1оч.;0
На манометре метанолопровода куста 927 красная стрелка указывающее рабочее давление отломалась;0
"На зоне ""В"" на 13 т.н. , занесена снегом ЗРА.";0
Образование наледи перед входом в поз. 77.;0
Образование наледи перед входом в поз.38.;0
Недостаточно очищен от снега подход к ПГ 7.;0
Поз. 90 ТУ отсутствует указатель направления потока среды на трубопроводе Т1.;0
Перегорела лампа освещения на пульту в БППП;0
Загрязнённые полы в ангаре ГПА№914.;0
УРДиМ,на ВХ-401 площадка занесена снегом.;0
УРДМ, ВХ-302 помещение занесено снегом.;0
УКПГ-9,УЗСП свищ на линии промстоков насоса Н-1;0
УРДМ, К 301-1,2 нечитаемость технологической схемы включения.;0
УЗСП, посторонние предметы на станине насоса Н 3-1,2.;0
Заносы снега у входа в цех УПГ,УРДМ, СП-501 и СП-502.;0
УЗГ не очищена от снега площадка обслуживания Г-1Х, Г-2Х;0
УЗГ не очищена от снега площадка обслуживания Г-5Х;0
Полотно ножовки по металлу на насосной станции хозяйственно-питьевого,производственного и противопожарного водоснабжения ГП-1С имеет скол рабочей поверхности;0
Не исправен доводчик двери на входе в ПЭБ ДКС;0
Снежный нанос и наледь на площадке обслуживания кранов № 36р и № 36б;0
Наледь на лестнице (вход в ПРМ);0
Загрязнение и пыль на поверхности П3-1;0
б.ЛЭС2. Наличие снега и наледи на путях передвижения (риск падения человека). Загрязненность поверхности пола по периметру обхода слесаря КИПиА.;0
Заносы снега у входов в БПТиИГ.;0
Не горит аварийное освещение на лестничных площадках первого и второго этажей АБК;0
Cрвана пломба на фланцевом соединении насоса Н1-1.;0
"АГРС ""Промбаза"". Посторонние предметы в тепло-пункте АГРС.";0
Отсутствует номерная бирка на технологической обвязке трубопроводов Н-9/1,2 ЦРДиМ.;0
Не очищена от снега переходная площадка 2 этажа ЦРДиМ.;0
Занесены снегом подходы к насосной ГСМ;0
КЦ-2 УПТТиГ Аппаратная КИПиА, перегорела лампа освещения.;0
Неисправность доводчика двери (ст.8, п. 88 ФЗ-123);0
Посторонние предметы, материалы у выхода в сторону Е-104;0
ГТЭС-24, БФТГ№2, перегорела лампа освещения.;0
"ГТЭС-48. НТиМ. Центральный вход. Сломан знак ""Держитесь за поручни"".";0
Утечка воздуха КИП на КСП С-1/10;0
Перегорела лампа аварийного освещения в операторной ПЭБа ДКС-2.;0
Наледь перед входом в БППП.;0
Перегорела лампа в районе БА-1 (УППГ-3В);0
Подтеки масла под насосом Н3/1 (УППГ-3В);0
Капельная утечка масла ,на входном трубопроводе (фланце) насоса Н-3в насосной маслохозяйства.;0
