Nomer;Massage
20499;Негерметичен дренажный вентиль системы отопления (ЦРД в районе В-1/3)
20500;ЦРД. Не читаема информационная таблица загрузки Ндэга на ПОРД.
20501;Маслянные подтеки на станине Н-404.1
20502;Занесены снегом пути передвижения на маслохозяйстве.
20503;Не очищены от снега подходы к входам ППА.
20504;Перегорела лампа в районе С-1 (УППГ-3В)
20505;Наледь на входе в торце техкорпуса (УППГ-3В)
20506;"Отсутствует табличка ""выход"" над дверью из отсека двигателя Т/А №112."
20507;Занесена снегом лестничная площадка входа в ЦРД
20508;Вибрация на насосе Н-10 А.
20509;"Дизельная электростанция ДЭС-500.
Выцветание кабельные бирки на оборудовании пожарной сигнализации."
20510;"Дизельная электростанция ДЭС-200.
Места сварки стойки трубы УГП не закреплен"
20511;"КПП электрощитовая.
Отсутсвует диспетчерское наименовние на понижающем трансформаторе 220/12В"
20512;"Маш. зал Модуля №4.
Неисправность теплообменника агрегата отопительного."
20513;"Модуль 1 ЭТБ коридор.
Пороги дверей окрашены в желтый цвет без черного."
20514;Недостаточное освещение в насосной метанола.
20515;Занесена снегом лестничная площадка входа в ПЗБ ДКС
20516;Над входом в АБК из Производственного корпуса не работает указательная табличка Выход охранно-пожарной сигнализации
20517;Вышел из строя светильник, освещавший схему движения АТС по территории производственной базы УТТиСТ в п. Новозаполярный
20518;"ГТЭС-24, ТМБ, каб.222, отсутствует бирка ""220В"" на розетке"
20519;Наличие наледи на двери ОД ГПУ-212
20520;Занесен снегом подход к крановому узлу второй группы ДКС.
20521;Образование наледи на лестничных маршах объекта КАДС.
20522;Пожарный гидрант №4 и №21 ( напротив поз.2) завален снегом после проезда техники
20523;Выцвела информационная табличка на блок-боксе ЭХЗ КГС №114 УКПГ-1С.
20524;На КГС №134 упал кабель ЭХЗ с эстакады.
20525;Нарушено ЛКП. АГРС. Поз.№13. Задвижка №14.
20526;Заметена лестница поз 1. АГРС. Блок редуцирования газа.
20527;На корпусе воздухавода АВОМК отсутствует обозначение направления движения среды, ГПА №-915.
20528;Не очищены от снега пож выхода в ЗПА
20529;Вент камера в ЗПА не достаточное освещение
20530;   ВПС, наличие наледи на лестничных маршах перехода между насосной конденсата и МКС.
20531;Въездные ворота на территорию УМС занесены снегом, проезд затруднён
20532;"АГРС ""Промбаза"", (б/б замер.диаф.,ТП). Наличие снега и наледи на путях передвижения, риск падения работника на скользкой поверхности. Наличие посторонних предметов в помещении. "
20533;"УКЗ АГРС ""Промбаза"". Подходные пути заметены снегом."
20534;"УКЗ АГРС ""Промбаза"". Отсутствие освещения на станции"
20535;Подтёки смазочного материала насоса Н6-1
20536;Образование на крыше наледи над входом в помещение 
20537;Наледь на козырьке. Выход с бппп 2 этаж
20538;ВХ 5 посторонний предмет.  (шланг в вент камере)
20539;б/б НДиМ. На задвижке номер 1 отсутствует надпись направления вращения (Откр. Закр)
20540;Наличие наледи на двери ОН ГПА №723.
20541;"Снег на выходе в зону ""В"""
20542;Обледенели ступеньки на выходе с ЦПГ со стороны АВО.
20543;Неисправен доводчик двери на вхоже в ТКПГ, район А-1/1.
20544;Занесена снегом лестничная площадка,наледь на ступенях выхода №3 ЦРД.
20545;Неисправна ручка двери входа в ЦРМ (со стороны переходной галереи БППП)
20546;После работы спец. техники выявлен скользкий участок на пути передвижения здания ЛЭС и АБК МРУ.
20547;"Нарушена целостность заземляющего проводника на преобразователе перепада давлений ""масло-газ"" ГПА-122"
20548;Огнетушитель убран из под знака обозначения огнетушителя в насосной метанола (УППГ-3В)
20549;Ослаб хомут крепления линии выкида насоса Н10А-1 (УППГ-3В)
20550;Мусор, посторонние предметы в ангаре ГПА №215.
20551;Неисправность работы доводчка двери в УПТИГ КЦ-1.
20552;"На воротах п.337 обветшала табличка ""запретная зона! проезд закрыт!"
20553;Набои снега на ступеньках основного входа в ангар ГПА №215.
20554;Обледенение подхода к лестничному маршу КПП.
20555;В помещении № 101 УОГ ДКС посторонние предметы .
20556;Нет освещения на запасном выходе с ПЭБА.
20557;"Снег , наледь на площадке обслуживания подачи метанола на скважины ( зона ""В"") вероятность падения работника"
20558;Отсутствует информационная бирка на манометре дренажной линии насоса Н-12.
20559;Занесён снегом пожарный гидрант №2
20560;Подтёки масленой жидкости ЦПГ возле Е-14
20561;В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.
20562;Наружное освещение ВЛО-9 не работают два светильника.
20563;Отсутствует информационная табличка ответственных за противопожарное состояние на входе в БПТПГ КЦ-2.
20564;Не посыпаны песком пути передвижения возле центрального входа БВП 
20565;Оторвано опломбирование устройства для изменения уставок на электроконтактном манометре в насосной метанола насос Н-3. 
20566;ГТЭС-48. Требуется очистка маршевой лестницы теплового пункта №4.
20567;Не очищена от снега входная лестница склада масел.
20568;ЦРД Н-4/1 низкий уровень масла в холодильнике-маслобаке
20569;ЦРД Н-4/3 не достаточное освещение
20570;На козерке выход из ЦПГ образовались сосульки.
20571;На позиции №341 посторонние предметы.
20572;На позиции №341  отсутствует номер на З.Р.А. и положения открыто и закрыто.
20573;Посторонние предметы в компрессорной позиция №56.
20574;Заснежено с торца БППП
20575;ВХ3 отсутствие на двери информационной таблички.(отклеелась)
20576;Посторонние предметы ЦРМ( фланец возле Н4а4
20577;Не убран снег возле здания б/б ГСМ.
20578;Занесены снегом подходы в УПТИГ.
20579;В приточной вентиляционной камере ЦРД посторонние предметы (огарки, шпилька).
20580;Не убрано рабочее место в слесарной мастерской, на верстаке слесарные инструменты и металл.
20581;Сосульки на крыше ЦРД, наледь на козырьке
20582;Наледь на выходе №2 из БППП
20583;Посторонние предметы (ветошь) под лестницей в переходной галерее ЦПГ
20584;Снег и наледь на ступени переходной лестницы УПТ - ЦРД
20585;Занесена снегом площадка обслуживания
20586;Наледь на ступенях входа в ПЭБ ДКС
20587;ЦСГ-3, наледь на козырьках входов в цех.
20588;ЦСГ, отсутствуют лопаты от ящиков для песка № 28.29.30.
20589;ЦСГ-3, посторонние предметы в юбках ФС.
20590;Посторонние предметы (ветошь, фильтры) в ОМА.
20591;Обледенение путей передвижения от операторной до галереи ППА. 
20592;Перегорела лампа освещения в насосной метанола 
20593;Посторонние предметы (ветошь) в ОД ГПА №721
20594;поз.2 20Р2/2 на расходомере по ВМР отсутствует винт на крышке (для пломбировки) 
20595;Заносы снега, наледь на путях передвижения, риск падения работника на скользкой поверхности
20596;Маршевая лестница площадки обслуживания емкости Е-4Б занесена снегом, риск падения и травмирования работника.
20597;Оборвана табличка с указанием НВО, ГИ и срока службы ВХ-1/2.
20598;Отсутствует сигнальная лента на ступенях лестницы подъема на второй этаж
20599;На выходе с СЭБ, наледь на нижних ступенях лестницы.
20600;Отсутствует обозначение выступов и перепадов в плоскости пола, малозаметных ступеней в МХЦ КЦ №
20601;Отсутствует информационная табличка на позиции: «Температура топливного газа» на ГПА-124
20602;"Отсутствует указатель ""ОЗ"" на ЗРА №55, Коллектора сухого газа (Гитара)"
20603;Недостаточное освещение армтатурном блоке ПОРД.
20604;Стремянка в тамбуре запасного выхода 1 эт. БППП (УППГ-3В)
20605;Отсутсвует табличка обозначения крана Г110, упала (УППГ-3В)
20606;Скользкое покрытие по маршруту обхода , подходы к площадкам БЕ -501, входа в цех
20607;Занесены снегом площадки обслуживания УПТИ и УГ и ДКУ
20608;Запарошены снегом запасные выходы с ПЭБА.
20609;"ЦРД, лестница на 2й этаж, травмоопасное расположение (наличие острых граней) металлической таблички-""держаться за поручни"" "
20610;Посторонние предметы (ведро, ветошь) в ЦПГ возле Е-7/2
20611;"ЦПГ. Отсутствует табличка "" ВЫХОД"" на двери эвак.выхода ( со стороны ББРГ)."
20612;Сорвана пломба на фланцевом соединении трубопровода насоса Н-12.
20613;Не горит освещение аварийного выхода №1 ПЭБ ДКС
20614;От вибрации слетела гофра пылеуловителя с заточного станка в помещении мастерской МРУ.
20615;Выявлено на полу скопление песка в коридорах и кабинетах здания АБК поз.9.18.
20616;Опасный снежный навес на козырьке здания УЗГ. Возможно травмирование дежурного персонала.
20617;Постороннее предметы в ангаре ГПА№911.
20618;Посторонние предметы в технологическом корпусе по маршруту обхода
20619;ВХ 2 посторонние предметы в помещении(металлолом)
20620;Не удовлетварительное состояние ЛКП Н8.1(корпус)
20621;Посторонние предметы (ведро с кисточами) возле Е-7 ёмкости в технологическом корпусе
20622;Посторонние предметы возле входа в цех №2
20623;Заснежена лестница площадки обслуживания ППА
20624;Снег на складе возле емкостей и во входе на склад
20625;ЗПА АВВ-1 порвана мягкая вставка
20626;ЗПА не горит аварийное освещение
20627;поз.4  10ПУ1/4 на манометре отсутствует красная стрелка 
20628;поз.4  10С1/4 на метране 150CD3 (перепад на фильтре)  перевёрнут дисплей
20629;поз.4 10С1/1 не подключен заземляющий проводник на датчике уровня
20630;поз.1 10С1/1 с кабельного лотка  слетела крышка 
20631;КЦ-1 ПТГ-1 и ПТГ-2, заметины подходы снегом.
20632;"Затруднен проход к площадке обслуживания кранов 103;203. Заметено снегом."
20633;п.2 20С-2/3 Неустановлены защитные кожуха на фланцевых соединениях
20634;п.18 Не плотное прилегание противопожарной двери
20635;п.1 Неисправен доводчик вхрдной двери
20636;п.2 Холодное укрытие 3-4 нитка неисправен доводчик входной двери
20637;Пожарный гидрант №3 Завален подход после прохода техники
20638;п. 92 обледенение ступеней лестницы
20639;Перегорела лампа освещения на пульту БППП
20640;Сосульки на крыше УОГ.
20641;Отсек нагнетателя с торца в верхней части ВВОН-1 деформированы элементы жалюзей  
20642;Переметы на ПАД к КШ №1, 2, 101
20643;Снежный нанос на площадке обслуживания ОА ГПА № 426.
20644;ЦПГр, отсутствует штурвал вентиля Д-209ар/2.
20645;Заметен проход под галереей ЦПГ.
20646;ГТЭС-48. Перегоревшая лампа в тамбуре БМО №2.
20647;АБК. Утечка на трубопроводе ХВС.
20648;КНС. Антигололёдное состояние подхода к маршрутной лестнице (риск падения человека). Отсутствие таблички с наименованием измеряемого параметра.
20649;АБК. Неисправность запорного устройства двери (ручка).
20650;РММ (курилка). Выход из строя обогревающего радиатора. 
20651;УМС. Выявлен один из канатных стропов с износом более 40% (присутствуют визуальные дефект). Высокий риск обрыва стропа при погрузочно-разгрузочных работах.
20652;Посторонние предметы возле Н-9/1 (мусор) в ТКДМ.
20653;Разряжен газоанализатор СЕАН (зав.№6052)
20654;Термоклапан  в не исправном состоянии на линии приточной вентиляции П3-1 в здании ПЭБ,
20655;ГТЭС-24,ОБУ, необходимо пополнить диспенсер для выдачи берушей.
20656;Провис защитного металлорукава кабеля датчика «температура масла на сливе УОПН» ГПА-124
20657;Ослабло крепление заземления сигнализатора двери КШТ ГПА №226
20658;ЦРМ. Не опломбированы фланцевые соединения Н10А/2 (после ремонтных работ).
20659;Наледь возле проходной ГП (УППГ-3В)
20660;"Неправильно нанесено направление ""открыто-закрыто"" на вентиле Ф421"
20661;Недостаточное освещение в блоке СВО ГПА №913.
20662;Постороннии предметы, ветошь возле Н-404-1
20663;Покрыты инеем номера кранов обвязки ЦБН на Т/А №112.
20664;В ТКПГ в НМ , на путях передвижения , возле Н-4\1 масляные пятна ,скользкий пол.
20665;Не расчищена от снега лестничная площадка б/б красок.
20666;В ЦПГ на БТДА 1/2 затерлась бирка на маслоемкости со стороны турбины.
20667;Нет маркировки на выключателях освещения б/б красок.
20668;Не закреплён выключатель освещения б/б красок.
20669;"Нечитаема информационная табличка- ""Держитесь за перила при передвижении по лестницам, площадкам обслуживания, переходным мостикам"". Обледение."
20670;УОГ С.1.3 Метран - уровень пластовый воды, обрыв заземления.
20671;поз.3 Наледь на ступенях лестницы (переходный мостик в каре)
20672;Наледь на кровле УРДиМ.
20673;Подтёки масла на насосе Н6-1
20674;Проведена ревизия работоспособности приборов службы ЭХЗ. Требуется ремонт одного трассоискателя и подзарядка имеющегося оборудования, в том числе рации и газоанализаторы. 
20675;Над входом в РММ не работает уличное освещение. 
20676;Склад УМС. После демонтажа оборудования, необходима комплексная уборка помещения. 
20677;РММ. В некоторых кабинетах отсутствуют дезинфицирующие средства общего пользования. 
20678;Перегорела лампочка аварийного освещения в тамбуре ГПА№913.
20679;ПОРМ №1 с крышы свисание наледи, снега 
20680;ПОРМ №1 в армотурном блоке не горит аварийное освещение
20681;УРДиМ,Ф-302/1,2 грязные полы.
20682;Наледь перед входом в ПЭБ ДКС
20683;Отсутствует стрелка на манометре у СГУ - 1,6 / 0,25.
20684;Недостаточное освещение в ОН ГПА №725
20685;КНС. Снег и наледь на вентиляционных дефлекторах КНС.
20686;Оторвана пломба шкафа хранения аварийного запаса СИЗОД.
20687;УРДиМ,грязные полы возле К401/2.
20688;Образовалась наледь на перилах лестницы насосная метанола
20689;Разряжен газоанализатор СГГ-4М.
20690;Механизм самозакрывания входной двери (доводчик) не функционирует (ст. 88 ФЗ №123)
20691;Подтеки масла под насосом Н-1Г/2.
20692;Мусор, посторонние предметы в помещении
20693;Снег в торце технологического корпуса
20694;Следы масла под фланцами входного патрубка насоса Н-6 МНЧ.
20695;"Нечитаем плакат ""Стой Напряжение"" на входе в техподполье позиции 85."
20696;Отсутствует бирка адреса подключения на модуле когммутации кран балки позиции 31.
20697;Посторонние предметы в помещении блок бокса обогрева позиции 108.
20698;ГТЭС-48. Отсутствуют моющие средства в комнате приема пищи ОБУ.
20699;Неисправна лампа аварийного освещения (прерывистое свечение, мерзание), 2й этаж (раздевалка) БППП 
20700;Заметены снегом стекла манометров на БФ ГПА-125
20701;Бочка с краской возле Е-7 (УППГ-3В)
20702;Наледь на подходе к ПГ-1.1 (УППГ-3В)
20703;ЦПГ, наледь на переходе и лестничных маршах в районе АВО газа.
20704;ЦПГ, загрязнение на полу в районе БРГ-1-2, вакуумного насоса .
20705;ЦПГ, частично отсутствует освещение верхней площадки в районе БТДА-1/1-6. 
20706;Заметены снегом подходы к узлам подключения №1,2.
20707;Не достаточное освещение в насосной ДЭГа и метанола.
20708;Сломан замок двери №3 ,ангара ГПА№ 914.
20709;Нет освещения над запасным выходом с УПТИГа-1оч.
20710;На манометре метанолопровода куста 927 красная стрелка указывающее рабочее давление отломалась
20711;"На зоне ""В"" на 13 т.н. , занесена снегом ЗРА."
20712;Образование наледи перед входом в поз. 77.
20713;Образование наледи перед входом в поз.38.
20714;Недостаточно очищен от снега подход к ПГ 7.
20715;Поз. 90 ТУ отсутствует указатель направления потока среды на трубопроводе Т1.
20716;Перегорела лампа освещения на пульту в БППП
20717;Загрязнённые полы в ангаре ГПА№914.
20718;УРДиМ,на ВХ-401 площадка занесена снегом.
20719;УРДМ, ВХ-302 помещение занесено снегом.
20720;УКПГ-9,УЗСП свищ на линии промстоков насоса Н-1
20721;УРДМ, К 301-1,2 нечитаемость технологической схемы включения.
20722;УЗСП, посторонние предметы на станине насоса Н 3-1,2.
20723;Заносы снега у входа в цех УПГ,УРДМ, СП-501 и СП-502.
20724;УЗГ не очищена от снега площадка обслуживания Г-1Х, Г-2Х
20725;УЗГ не очищена от снега площадка обслуживания Г-5Х
20726;Полотно ножовки по металлу на насосной станции хозяйственно-питьевого,производственного и противопожарного водоснабжения ГП-1С имеет скол рабочей поверхности
20727;Не исправен доводчик двери на входе в ПЭБ ДКС
20728;Снежный нанос и наледь на площадке обслуживания кранов № 36р и № 36б
20729;Наледь на лестнице (вход в ПРМ)
20730;Загрязнение и пыль на поверхности П3-1
20731;б.ЛЭС2. Наличие снега и наледи на путях передвижения (риск падения человека). Загрязненность поверхности пола по периметру обхода слесаря КИПиА.
20732;Заносы снега у входов в БПТиИГ.
20733;Не горит аварийное освещение на лестничных площадках первого и второго этажей АБК
