Message;Real Risk
3.2.2 (ЦПГ-1) - Не соответствие режима работы технологических трубопроводов (Отстуствие проходимости на линии между Е-8а/2 и УТЕ);Низкий
4 модуль, помещение приточной вентиляции: не закреплен огнетушитель ОУ-7.;Низкий
Cломана ручка двери на входе в ангар ГПА-914.;Низкий
Cрвана пломба на фланцевом соединении насоса Н1-1.;Низкий
АБК. Неисправность запорного устройства двери (ручка).;Низкий
АБК. Утечка на трубопроводе ХВС.;Низкий
Аварийный запас СИЗОД, ПШ-2, повреждена и не читается бирка с датой испытания.;Низкий
АВО газа ВХ-1 -1/2 провисание троса ограждения рабочей части диффузора ,риск получения травмы;Средний
"АГРС ""Промбаза"" переходы между блок-боксами замело снегом.При входе в РММ на козырьке накопился снег.";Низкий
"АГРС ""Промбаза"", (б/б замер.диаф.,ТП). Наличие снега и наледи на путях передвижения, риск падения работника на скользкой поверхности. Наличие посторонних предметов в помещении.";Средний
"АГРС ""Промбаза"", б/б БТПГ, б/б редуцир. Наличие наносов снега на кабельной эстакаде. Наличие снега с наледью на козырьке и свисание их с крыши. При потеплении не исключена вероятность падения снега со льдом на подходные пути работников.";Средний
"АГРС ""Промбаза"". Жидкость в плафонах ВЗГ-200. Неисправное освещение в рабочей зоне.";Низкий
"АГРС ""Промбаза"". Неисправна КУ на б/б одоризации.";Низкий
"АГРС ""Промбаза"". Посторонние предметы в тепло-пункте АГРС.";Низкий
АГРС ПОЗ.3 ПТПГ 30 № 2 ,образование наледи и льда на оголовке дымохода подогревателя газа.;Низкий
Аппараты воздушного охлаждения (поз.16). 20ВХ-1/2 Не закрывется дверь на входе в секцию.;Низкий
Аппараты воздушного охлаждения (поз.16). 20ВХ-1/6 Не закрывется дверь на входе в секцию из за провисания.;Низкий
АР-01, 1т.н. нарушена целостность ЛКП трубопровода от Г103.1 до тройника;Низкий
Арм. блок К1.1 недостаточное освещение;Низкий
АСППТ. Отсутсвует табличка выход.;Низкий
б.ЛЭС2. Наличие снега и наледи на путях передвижения (риск падения человека). Загрязненность поверхности пола по периметру обхода слесаря КИПиА.;Средний
Б/Б насосная ГСМ АВВ повреждено заземление электродвигателя;Низкий
Б/Б насосная метанола не очищена от наледи и снега наружная вертикальная пожарная лестница;Средний
б/б НДиМ. На задвижке номер 1 отсутствует надпись направления вращения (Откр. Закр);Низкий
База РЭЦ РММ. Не горит светильник в сан.узле.;Низкий
База РЭЦ РММ. Недостаточная освещенность при входе в цех в зоне ворот.;Низкий
База РЭЦ. Открытый склад аварийного запаса материалов заметен снегом.;Низкий
База УМС. Не работает кнопка запуска на компрессоре.;Низкий
БВП нависание снега и льда над площадкой пож.выхода 2 этаж;Низкий
БВП не горит Аварийное освещение;Низкий
БВП.Вход в гараж. гололед.;Средний
Беспорядок в помещении №109.;Низкий
Блок -бокс КИПиА входная дверь не открывается легко,задевает дверную коробку.Обледенение на ступенях крыльца РММ.;Низкий
"Блок бокс насосная метанола ,повреждена табличка ""В работе"" на насосе Н 5-3";Низкий
Блок бокс насосной метанола, занесены снегом пути передвижение.;Низкий
"Блок маслоаппаратной и трансформаторного масла.
Перепады высот путей передвижения персонала в здании маслоаппаратной отошла антискользящая лента";Средний
"БОК и ГФ №4.
Не горит светильник";Низкий
Бокс №14. Недостаточное освещение рабочего места.;Низкий
Бочка с краской возле Е-7 (УППГ-3В);Низкий
Бочка с краской на 1 этаже в торце тех. корпуса;Низкий
Бочка с краской на 1 этаже в торце техкорпуса (УППГ-3В);Низкий
БППП 1 этаж не горит аварийное освещение;Низкий
"БППП лестница на 2-й этаж не читается знак ""ПЕРЕПАД ВЫСОТЫ""";Низкий
БППП ослабло крепление розетки в комнате приёма пищи;Низкий
БППП пульт не горит аварийное освещение;Низкий
БППП пульт разряжен газоанализатор ГАНК-4;Низкий
БППП углекислотный огнетушитель №43 повреждена пломба;Низкий
БППП, 2 этаж, закрыта дверь пожарного выхода.;Низкий
БППП, 2 этаж, занесена снегом площадка аварийного выхода.;Низкий
БППП, наледь и снег на козырьке входной двери.;Средний
БПТПГ ПТГ: снег на площадках обслуживания.;Низкий
В б.боксе шпильки фланцевых соединений ЗРА 14 имеют запас прочности по резьбе менее одного витка.;Низкий
В БВС слесарной мастерской на обогревателе рабочие перчатки, одежда.;Низкий
В боксах 1-14 стоянки легковых авто, требуется заменить 8 ламп.;Низкий
В БППП, на ОП-10 №10 имеются трещины на шланге, необходима замена.;Низкий
В вагон-складе электромонтеров вышла из строя одна секция освещения., на левой стороне верхних полок стеллажа хаотично лежит инвентарь выпирая за границы полок, риск получения травмы персонала в следствии недостаточного освещения при прохождении между стеллажами.;Средний
В вагон-складе электромонтеров обнаружена непригодная спецодежда;Низкий
В венткамере БППП, перегорела лампа, не достаточно освещение;Низкий
В здании БВС на лестнице эвакуационного выхода на ступеньках наледь (скользкая поверхность).;Средний
В здании УМВ в помещении доочистки воды не заземлен насос для промывки фильтров Grunfos NB 32.;Низкий
В здании УМВ в помывочном цеху не работает вытяжная вентиляция.;Низкий
В здании УМВ, в помещении комнаты мастеров электророзетка (16А ) соскочила с посадочного кабельного канала.;Низкий
В здании УМВ, у входа №2, загроможден проход посторонними предметами.;Низкий
В инструментальном шкафу КИП не расклинена рукоятка молотка.;Низкий
в кабинете 19 АБК ф.ЯРЭУ загроможден проход приборами, полученными после проведения очередной поверки.;Низкий
В комнате для курения коммутационная аппаратура в щитке управления обогревателями работает не корректно. Происходит залипание или не срабатывание пускателей, что может привести к перегреву и оплавлению аппаратуры.;Низкий
В комплекте инструментов насосной станции хозяйственно-питьевого, производственного и противопожарного водоснабжения ГП-1С ключ гаечный 22х24 имеет скол рабочей поверхности;Низкий
В компресорной КИПиА возле ВК-1 розлив масла (ЛВЖ).;Низкий
В котельной недостаточное освещение рабочего места.;Низкий
В маслонасосной склада ГСМ на насосе Н-6 оборвано заземление.;Средний
В мастерской УТОБТДА в сборочном участке маслянные пятна под спч АДКГ-9;Низкий
В мастерской УТОБТДА возле токарных станков разбросана стружка;Низкий
В мастерской УТОБТДА на УШМ повреждена бирка с датой следующей проверки;Низкий
В мастерской УТОБТДА над сверлильным станком отсутствует свет, по причине перегорания лампы;Низкий
В мастерской УТОБТДА не закрывается дверь по причине намерзания наледи;Низкий
В месте хранения инструмента общего пользования, обнаружен молоток с треснувшей рукоятью.;Низкий
В мужской душевой раздевалки игрового зала КСК п. Новозаполярный очень скользкий пол из кафельной плитки и отсутствуют поручни выхода из высоко расположенных душевых кабинок, что создает опасность травмирования в результате падения. Предлагаю рассмотреть возможность укладки нескользящего резинового или ЭВА настила поверх плитки или размещения поручней по примеру душевой в бассейне.;Средний
"В мужском туалете на 4-м этаже АЦ корп. ""В"" разрушено напольное покрытие (плитка).";Низкий
В Н.М. подтёки масла на станине Н - 1/23.;Низкий
"В насосной ГСМ нет маркировки ""Открыто-Зкрыто"" на ЗРА №66";Низкий
В насосной п. 337 плохо читаема технологическая схема.;Низкий
В насосной хозяйственно-пожарного водоснабжения заклинила стрелка манометра МП3-У на отметке 1,8 кгс/см2, открытие и закрытие трехходового крана положение стрелки не меняет.;Низкий
В неувовлетворительном состоянии противоскользящая лента в тамбуре центрального входа в ПЭБ ДКС.;Средний
В отсеке маслоагрегатов поврежден заземляющий провод двигателя откачивающего насоса маслобака.;Низкий
В помещение мастерской МРУ на тисках ослабло крепление губок;Низкий
В помещении № 101 УОГ ДКС посторонние предметы .;Низкий
В помещении аэротенков не работают 4 светильника, недостаточное освещение рабочей зоны.;Низкий
В помещении выездных бригад частично отсутствует освещение.;Низкий
В помещении ЗАТПГ мелкий мусор ( перья от веника);Низкий
В помещении лаборатории физической химии на просушивающем устройстве обнаружена химическая посуда со сколами. Работники лаборатории могут пораниться при использовании посуды со сколами/трещинами.;Низкий
В помещении мастерской МРУ обнаружено ослабленное крепление защитного заземления фрезерного станка.;Низкий
В помещении оператора ПАГЗ недостаточное освещение рабочего места.;Низкий
В помещении ПЭБа (п.324) у входных дверей частично нарушены полосы противоскольжения.;Низкий
В приточной вентиляционной камере ЦРД посторонние предметы (огарки, шпилька).;Низкий
"В ПРМ на штурвалах задвижек по направлениям метанола скв.№ 955 № 927, № 930, слабо видно 
указатель напрвление вращения "" Открыто"" ""Закрыто""";Низкий
В ПРМ не закреплены переходные площадки над трубопроводами.;Средний
В производственном цехе в раздевалке не работает светильник.;Низкий
В проходе возле насосов Н-4 ЦРД образовалась лужа из-за талого снего. Риск падения работника при передвижении по цеху;Средний
В проходе к ЗППА возле калитки образовался перепад высот. Риск падения работника при передвижении;Средний
В проходе к ТКПГ со стороны Т-3 образовался перепад высот на пути передвижения работников. Риск падения при передвижении;Средний
В процессе проверки путей передвижения работников в зданиях, сооружениях и помещениях на территории базы УМС, при входе в здание ЛЭС, выявлено ослабление крепления ручки на двери;Низкий
В рабочих кабинетах третьего этажа Административного здания МСЧ по ул.Таёжная, 32А 10января составляет 15-17градусов. Данный температурный режим не соответствует нормам и повышает риск возникновения простудных заболеваний у сотрудников (в основном женщины) при сидячем режиме работы за компьютерами.;Низкий
В районе б/б насосной ДЭГа и метанола погнут сигнальный флажок трубопровода.;Низкий
"В рамках вовлечения всех работников к активному участию в деятельность по повышению энергоэфективности и энергосбережению и исполнения политики ООО ""Газпром добыча Ямбург"" в области энергоэфективности и энергосбережения, рабочее освещение (кроме аварийного) в производственных цехах, подсобных помещениях, в ремонтных мастерских, в электроустановках без нахождения персонала в светлое время суток, в целях повышения ресурса осветительных устройств, необходимо отключать.";Низкий
В результате обхода основного и вспомогательного оборудования ДКС обнаружено не надлежащее состояние лотка кабельного плана поз. 302.1;Низкий
В РММ на поверхности вентиляционного оборудования пыль.Не посыпали песком подходы к маршрутным лестницам.На пути передвижения к слесарной мастерской №2 сугроб снега.;Средний
В РММ у сверлильного станка не работает местное освещение.Наледь на ступеньках при входе в блок-бокс одоризации.;Средний
В сборочном участке мастерской УТОБТДА лежит промасленная ветошь;Низкий
В слесарной мастерской РММ хранится стремянка со сломаной ступеней.;Низкий
В слесарной мастерской РММ хранится стул со сломанной спинкой.Вход №1 в АБК наледь на ступеньках.;Средний
В стояночном боксе автобусов(профилакторий), у лестницы запасного выхода отсутствует информационная табличка, держатся за перила.;Низкий
В теплой стоянке спец. техники базы РЭЦ не горит лампа светильника аварийного выхода.;Низкий
В ТКПГ в НМ , на путях передвижения , возле Н-4\1 масляные пятна ,скользкий пол.;Средний
В ТКПГ в районе С-1/3, недостаточная освещённость рабочего места.(не горит лампа ).;Низкий
В ТКПГ на ППА в проходе между 2 т.н. и 3 т.н. под Г102.3 масляные пятна, скользкий пол.;Средний
В ТКПГ негерметична мягкая вставка на В-6/1.;Низкий
В ТКПГ, в районе А-1/1, не работает лампа освещения.;Низкий
В умывальнике общественного туалета второго этажа тусклое освещение ввиду перегоревшей одной из ламп дневного света .;Низкий
В УОГ на стойке КИП С1.6 расколотый пластиковый барашек ВИ-15 - острые края.;Низкий
В УОГ С1/1 шпильки фланцевых соединений ЗРА 1.15 имеют запас прочности по резьбе менее одного витка.;Низкий
В УОК ЗРА 14 свечной линии шпильки фланцевых соединений имеют запас прочности по резьбе менее одного витка.;Низкий
В УРДиМ На АР-401/1 ослаблен хомут на дренажной линии.;Низкий
"В ходе выполнения обхода основного и вспомогательного оборудования ДКС обнаружено не надлежащее крепление таблички "" Категория взрывопожарной и пожарной безопасности "" поз.324";Низкий
В ходе выполнения обхода основного и вспомогательного оборудования ДКС обнаружено плохое крепление черенка к лопате в ящике с песком поз.301;Низкий
В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.;Низкий
В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.;Низкий
В хроматографии №2 здания ИТЦ-1 поврежден порог деревянной двери в процессе эксплуатации, угроза спотыкания лаборантов химического анализа.;Средний
В ЦПГ между БТДА 1/3 и БТДА 1/4 недостаточное освещение.;Низкий
В ЦПГ на БТДА 1/2 затерлась бирка на маслоемкости со стороны турбины.;Низкий
В ЦПГ на емкости Е-1, пропуски по фланцевому соединению.;Низкий
В ЦРД возле Н5А1 лужа воды.;Низкий
В ЦРД возле Р-1 из пола выпирает препядствие возможно подение работника.;Средний
В ЦРМ на насосе Н-7А/2 оборвано заземление.;Средний
В ЦРМ, на Н-7а/2, сорвана пломба на фланцевом соединении нагнетательного трубопровода.;Низкий
В шкафах управления приточной вентиляции поз.33 отсутствует маркировка ПЧ П1, ПЧ П2.;Низкий
В эл.цехе недостаточное освещение рабочего места;Низкий
Вент камера в ЗПА не достаточное освещение;Низкий
Вент.камера ПЭБ (заносы снега);Низкий
Ветошь на полу в галерее тех.корпуса.;Низкий
Вецвели информационные таблички и знаки безопасности на входе в маслохохяйство КЦ №1.;Низкий
Вибрация на насосе Н-10 А.;Средний
Возле насоса Н-3-1 посторонние предметы (набивка, ключ).;Низкий
Восстновление целостности ЛКП на трубопроводе в районе КРУ-1,3.;Низкий
ВПС, наледь на лестничных маршах печей регенерации.;Средний
ВПС, наледь на ступенях площадки обслуживания емкостей парка конденсата Е-1х.;Средний
ВПС, наледь на ступенях площадки обслуживания Т-1/1-3.;Средний
ВПС, наледь, снег на маршевых лестницах и переходах ПОРМ.;Средний
ВПС, наличие наледи на лестничных маршах перехода между насосной конденсата и МКС.;Средний
ВПС, присутствует наледь подходов к маршрутным лестницам ЗПА, насосная метанола.;Средний
ВХ 2 посторонние предметы в помещении(металлолом);Низкий
ВХ 5 посторонний предмет. (шланг в вент камере);Низкий
ВХ3 отсутствие на двери информационной таблички.(отклеелась);Низкий
ВХ5 пустая бочка из под краски;Низкий
Вход в АБК заметён снегом.;Низкий
Вход в АБК образуется наледь на ступенях.Сломан доводчик двери на входной двери РММ.;Средний
Вход в АБК. Отсутствует противоскользящее покрытие.;Средний
Вход в БППП засыпан снегом.;Низкий
Вход в РММ. Отсутствует наружное освещение.;Низкий
Вход ЦРД не исправен доводчик двери.;Низкий
Въездные ворота на территорию УМС занесены снегом, проезд затруднён;Низкий
Выдавило опору трубопровода возле МКЦ-1.;Низкий
Выпирающие конструктивные элементы (арматура) ПНД плит на путях передвижения по территории базы ЛЭС. Возможно спотыкание работников при перемещении по территории.;Средний
Высота до первой ступени от земли более 35 см.на двух лестницах лестничной площадки технологического отсека МКУ-510.;Низкий
Выступ из-под снега металлического элемента возле скважины 505.7.;Низкий
Выходные вентиляционные дефлекторы КНС №1 ЛЭС забиты снежным покровам, отсутствует приток и вятжка помещения КНС. Возможно пониженное количество кислорода в помещении.;Низкий
"Выцвел знак ""Пожарная лестница"" на пожарной лестнице печей огневой регенерации метанола";Низкий
Выцвела информационная табличка на блок-боксе ЭХЗ КГС №114 УКПГ-1С.;Низкий
Вышел из строя светильник, освещавший схему движения АТС по территории производственной базы УТТиСТ в п. Новозаполярный;Низкий
Вышел срок годности на фильтра, изолирующего противогаза ИП-4м в шкафу аварийного запаса у входа в ЦПГ.;Низкий
Выявлен скользкий участок на пути передвижения здания ЛЭС и АБК МРУ;Средний
Выявлено на полу скопление песка в коридорах и кабинетах здания АБК поз.9.18.;Низкий
Выявлено подклинивание доводчика входной двери здания АБК МРУ поз. 9.18;Низкий
Вьездные ворота ЗПА занесенны снегом.;Низкий
Газопровод - шлейф 307. ПК 05+42 метанолопровод в непроектном положении.;Низкий
Газопровод - шлейф 313. Метанолопровод ПК 26+10 - непроектное пложение.;Низкий
Галерея раздевалка 2 этаж , перегорело аварийное освещение.;Низкий
"Главный щит управления.
Выгорел знак световое табло ""Выход"" над дверью эвакуционного выхода";Низкий
Гололед на входе в ДЭС-1.;Средний
Гололед у входа в торце Т.К.;Средний
Гололедица по маршрутам обхода;Средний
ГПА 726. Нет освещения в тамбур шлюзе ОН.;Низкий
ГПА №622 отсутствует аварийное освещение в ОН.;Низкий
ГПА №625 отсутствует заземление на насосе откачки МБД.;Средний
ГПА №626 не достаточное освещение в ОН.;Низкий
ГПА №721 нет освещения тамбур-шлюз ОН.;Низкий
ГПА-117В неисправность работы доводчиков дверей ангара;Низкий
ГПА-513 недостаточно освещён отсек автоматики ,не работает аварийное освещение.;Низкий
ГПУ № 211 БМА: отсутствует освещение в блоке.;Низкий
ГПУ № 2116 частично отсутствует освещение отсека двигателя.;Низкий
ГПУ № 213: Отсутствует освещение в пож.модуле.;Низкий
ГПУ- № 215 вышел из строя замок двери пож. модуля.;Низкий
ГПУ-215 низкий уровень масла МБД.;Низкий
Гребенка по приему метанола Дэга занесена снегом.;Низкий
"ГРС ""Аэропорт"" засыпало снегом въездные ворота.После очистки территории ЛЭС от снега не посыпанные дорожки песком.";Низкий
"ГРС ""Аэропорт"" с крыши блок-бокса переключения свисание наледи.В слесарной мастерской РММ не освещается эвакуационный выход.";Средний
"ГРС ""Аэропорт"". Снег и наледь на козырьках и свисание их с крыши. Риск получения травмы работника.";Средний
"ГТУ №8.
Повреждена алюминевая изоляция трубопровода маслоснабжения переднего подшипника генератора";Низкий
ГТЭС-15 ОБУ, главный вход, тамбур, не горит светильник аварийного освещения. Помещение вент.установки ВЕЗА, не горит светильник аварийного освещения;Низкий
ГТЭС-15, ПГ №3, светильник занесен снегом, не работает освещение гидранта;Низкий
ГТЭС-15, ТМБ, комната приема пищи, неисправность смесителя, не полное закрытие кран-буксы горячей воды.;Низкий
ГТЭС-15. После очистки техникой территории от снега, отсутствует обработка путей передвижения персонала противогололедными реагентами;Низкий
ГТЭС-15: Неисправен замок входной двери теплого склада (заклинивание);Низкий
ГТЭС-22,5, на удлинителе №15 неисправна (треснул корпус) вилка включения в сеть.;Низкий
ГТЭС-22,5, УЧЗН№1,2 - требуется очистка от снега путей передвижения.;Низкий
ГТЭС-22,5. Занесено снегом каре склада ГСМ.;Низкий
ГТЭС-22,5: Аварийный выход электроустановки 50РП-6, отсутствует диспетчерское наименование (50РП-6).;Низкий
ГТЭС-22,5: ДЭС№7, ДЭС№8, аварийный выход бытового помещения (раздевалки). С крыши на свесах кровли имеется наледь и свисают сосульки.;Средний
ГТЭС-24, БФТГ№2, перегорела лампа освещения.;Низкий
ГТЭС-24, Г-2, Аккумуляторная неисправно рабочее освещение.;Низкий
ГТЭС-24, диэлектрические перчатки №39 (БЭТ-1), №73 (БЭТ-2), №74 (БЭТ-3) срок испытания заканчивается 26.01.2023.;Низкий
"ГТЭС-24, ДЭС№1 на лестнице ветром оторвало знак ""Держитесь за перила""";Низкий
ГТЭС-24, ЗРУ-110кВ, У изолирующих штанг №7334, №7344 срок испытания истекает 14.01.2023.;Низкий
ГТЭС-24, ОРУ 110/6кВ, УЧЗН-1, УЧЗН-2 - требуется очистка снега путей передвижения.;Низкий
ГТЭС-24, пути передвижения необходимо очистить от снега и посыпать противоскользящим материалом.;Средний
"ГТЭС-24, ТМБ, каб.222, отсутствует бирка ""220В"" на розетке";Низкий
ГТЭС-24,ОБУ, необходимо пополнить диспенсер для выдачи берушей.;Низкий
ГТЭС-24,требуется очистка от снега термостабилизаторов;Низкий
ГТЭС-24. Г-1. В отсеке ГТГ не исправна лампа освещения.;Низкий
ГТЭС-24. Узел теплоснабжения ОБУ. На вентиле ВИ1 - бирка с диспетчерским наименованием не читаема.;Низкий
ГТЭС-48 - пути передвижения заметены снегом. Требуется очистка и посыпка противоскользящим материалом.;Средний
ГТЭС-48 ПУТ Перегорела лампа освещения.;Низкий
ГТЭС-48 ТМБ насосная. Отсутствует обозначения ВКЛЮЧЕНО ОТКЛЮЧЕНО на рубильнике питание крана электрического подвесного.;Низкий
ГТЭС-48, БМО ГТУ-3 - неисправна лампа рабочего освещения.;Низкий
ГТЭС-48, БМО ГТУ-4 неисправность светильника рабочего освещения, требуется замена неисправной лампы освещения.;Низкий
"ГТЭС-48, ЗРУ-110кВ - пришло в негодность диспетчерское наименования ""Яч№3 Т-3""";Низкий
ГТЭС-48, ЗРУ-110кВ - требуется регулировка и смазка замка входной двери.;Низкий
"ГТЭС-48, КРУ-10 ГТУ-3, - отсутствует знак ""заземления"" на заземляющем контуре шкафа сигнализации.";Низкий
ГТЭС-48, НТиМ, насосная - Отсутствует бирка на КЛ от насоса №3 до кнопочного поста.;Низкий
