Message;Real_Risk
Заметен подход к КНС поз 65.;0
Заметен подход к КНС поз 83.;0
Заметен подход к ПГ-30 КЦ-2 со стороны АВО газа.;0
Заметен подход к переходной лестнице АВО газа КЦ-2.;0
Заметен подход к печам П-1.1,2 (УППГ-3В);0
Заметен подход к печам П-1.3,4;0
Заметен подход к печам ПГ-1.1,2;0
Заметен подход к печи ПГ-1;0
Заметен подход к печи ПГ-1.1;0
Заметен подход к печи ПГ-1.1 (УППГ-3В);0
Заметен подход к печи ПГ-1.2;0
Заметен подход к печи ППГ-1/4;0
Заметен подход к печи ППГ-1/4;0
Заметен подход к резервному источнику питания ДЭС--1 площадки ЛЭС. Отсутсвует возможность подхода для проведения оперативных переключений.;0
Заметен проход в ЦПГ под галереей.;0
Заметен проход к переходному мостику через эстакаду возле УПТ.;0
Заметен проход на площадку обслуживания сепараторов.;0
Заметен проход под галереей ЦПГ.;0
Заметен снегом вход в технологический корпус с торца здания.;0
Заметён снегом подход к крановому узлу первый группы.;0
Заметен снегом подход к лестнице Т1А. Риск травмирования работника при подходе к лестнице;0
Заметён снегом подход к переходной лестнице между КЦ-1 и КЦ-2 со стороны Т/А 314.;0
Заметён снегом подход к пожарному гидранту №10.;0
Заметён снегом проход к арматурному блоку печей подогрева газа;0
Заметен снегом проход к площадке осблуживания кранов;0
Заметен снегом проход к пожарному гидранту, затруднен доступ к нему;0
Заметен снегом путь прохожения к ДЭС1.;0
Заметен снегом центральный выход АБК МРУ поз. 9.18;0
Заметена калитка и проход к узлу связи. Возможно травмирование дежурного персонала.;0
Заметена лестница , аварийного выхода БППП.;0
Заметена лестница поз 1. АГРС. Блок редуцирования газа.;0
Заметена лестница поз 83 со стороны СЭБа;0
Заметена снегом площадка возое насосной метанола и ГСМ. Риск травмирования работника при передвижении по площадке;0
Заметена снегом площадка вход в БВС.;0
Заметена снегом площадка кранов №21,22;0
Заметена снегом площадка обслуживания кранов №24,25;0
Заметена снегом площадка обслуживания технологического отделения поз.22.1.1 и компрессорного отделения поз.22.1.2.;0
Заметена снегом площадка ш.крана №36.;0
Заметены подхлды к ПЭБ.;0
Заметены подходы к арматурному блоку печей.;0
Заметены подходы к гидрантам ПГ-7 и ПГ-8;0
Заметены подходы к лестницам подьема-спуска к АВО г. 1группа;0
Заметены подходы к поз.19;0
Заметены подходы ПЭБ;0
Заметены снегом подходы к входным кранам АВО поз.3;0
Заметены снегом западные ворота ГП;0
Заметены снегом первичные средства пожаротушения здания РММ. Нарушение правил ПБ.;0
Заметены снегом подходы к входным кранам АВО газа поз.30;0
Заметены снегом подходы к ГПА 215, СПУ.;0
Заметены снегом подходы к кранам 23,36,22;0
заметены снегом подходы к поз 85;0
Заметены снегом подходы к ПЭБ, ГПУ 211;0
Заметены снегом подходы к узлам подключения №1,2.;0
Заметены снегом подходы к УП №1,2;0
Заметены снегом стекла манометров на БФ ГПА-125;0
Занесен подход для обслуживания ГФУ.;0
Занесен подход к пожарному сухотрубу ЦРД.;0
Занесён подход снегом кранового узла первый группы ДКС.;0
Занесен проход в ПОРД 5.;0
Занесен снегом вход АСППТ.;0
Занесен снегом вход в здание ЦРД;0
Занесен снегом вход в ЦРД;0
Занесен снегом вход УОК;0
Занесен снегом лестничный переход через эстакаду возле Е-3/7.;0
Занесен снегом подход к арматурному блоку ППГ;0
Занесён снегом подход к арматурному блоку ППГ;0
Занесен снегом подход к Б/Б насосной Н-13 Е=8А;0
Занесен снегом подход к блок-боксу насосной метанола;0
Занесен снегом подход к блок-боксу насосной метанола;0
Занесен снегом подход к блок-боксу топливо-раздаточной;0
Занесён снегом подход к входу в агрегат ГПА№916.;0
Занесен снегом подход к крановому узлу второй группы ДКС.;0
Занесен снегом подход к лестнице печи ППГ-1/3;0
занесен снегом подход к ПГ-6;0
Занесён снегом подход к ПГ-6;0
Занесён снегом подход к площадке обслуживания кр.№-36,36а,36р.;0
Занесен снегом подход к пожарной лестнице МКЦ-2.;0
Занесен снегом подход к приёмному коробу насосной метанола.;0
Занесен снегом подход к УОК;0
Занесен снегом пожарный гидрант №1;0
Занесен снегом пожарный гидрант №2;0
Занесён снегом пожарный гидрант №2;0
Занесен снегом пожарный гидрант №3;0
Занесен снегом пожарный гидрант №6;0
Занесён снегом проход к крану Г-517.;0
Занесён снегом проход к лестнице ведущей в УОГ.;0
Занесен снегом проход к насосной метанола (ППГ).;0
Занесен снегом проход к ПГ-4.;0
Занесен снегом проход к ПГ-4.;0
Занесен снегом проход к ПГ-7.;0
Занесен снегом проход к ПГ-8.;0
Занесен снегом проход к печам ПГ-30, 1 очереди ДКС.;0
Занесен снегом проход к печам подогрева топливного газа 1 очереди ДКС.;0
Занесен снегом проход между емкостями Е-6 на складе ДМ;0
Занесен снегом проход мехду ГШ 607 и ПРМ на ППА;0
Занесен снегом эвакуационный выход 13ТП-20.;0
Занесён снегом эвакуационный выход с СЭБ 2-й этаж;0
Занесен эвакуационный выход БППП.;0
Занесена лестница обслуживания ЗРА ГФУ.;0
Занесена снегом входная площадка в УЗГ.;0
Занесена снегом информационная табличка При передвижении по лестнице держись за перила в районе отсека автоматики;0
занесена снегом лестница входа в ТКПГ;0
занесена снегом лестница выхода из СЭБ;0
занесена снегом лестница выхода из ТКПГ;0
Занесена снегом лестничная площадка входа в ПЗБ ДКС;0
Занесена снегом лестничная площадка входа в ЦРД;0
Занесена снегом лестничная площадка МКЦ-1;0
Занесена снегом лестничная площадка ЦРМ;0
Занесена снегом остановка автотранспорта КАДС.;0
Занесена снегом площадка обслуживания;0
Занесена снегом площадка обслуживания Г-519;0
Занесена снегом площадка обслуживания емкостей 50Е3/1-4;0
Занесена снегом площадка обслуживания и подход к ней на крановый узел 1-й группы ГПА.;0
